INPUT_FID	NEAR_FID	DISTANCE
0	1	330941.3652
0	2	309202.5905
0	3	311672.4463
0	4	273159.7101
0	5	266705.1227
0	6	249213.3027
0	7	229563.2422
0	8	352735.0519
0	9	253025.7783
0	10	214480.3861
0	11	180882.4065
0	12	358396.161
0	13	375431.245
0	14	210099.9117
0	15	245333.0474
0	16	241303.8105
0	17	232170.9941
0	18	337563.1024
0	19	334804.7252
0	20	226078.2937
0	21	240456.0518
0	22	210321.3649
0	23	185838.2461
0	24	198752.7688
0	25	369052.7615
0	26	204109.611
0	27	194591.0842
0	28	231480.2102
0	29	225030.853
0	30	244027.5488
0	31	288853.9475
0	32	342204.8721
0	33	222685.5735
0	34	108070.9598
0	35	27737.55579
0	36	170668.7108
0	37	342108.6338
0	38	317332.0002
0	39	278645.1332
0	40	265724.7485
0	41	257117.01
0	42	255808.2959
0	43	271790.7102
0	44	218619.4999
0	45	219134.9688
0	46	216861.3405
0	47	229770.5955
0	48	232259.4487
0	49	234147.6454
0	50	255976.2792
0	51	218362.6816
0	52	251458.2685
0	53	216977.1224
0	54	176328.0122
0	55	385608.55
0	56	148341.1477
0	57	207004.2873
0	58	264408.84
0	59	370683.3086
0	60	195382.7564
0	61	331260.309
0	62	324201.882
0	63	355644.5299
0	64	319686.8353
0	65	326953.4003
0	66	318226.951
0	67	247411.3298
0	68	229045.0429
0	69	379084.1791
0	70	394664.6846
0	71	332872.3985
0	72	241118.4235
0	73	226779.8097
0	74	228100.0811
0	75	265766.3121
0	76	98753.91496
0	77	147695.6344
0	78	135864.9123
0	79	210139.0002
0	80	212273.2561
0	81	211705.3807
0	82	214272.487
0	83	212882.533
0	84	164908.0981
0	85	144047.4178
0	86	228370.397
0	87	213003.3259
0	88	211242.271
0	89	230511.6842
0	90	196956.8867
0	91	128564.2518
0	92	174426.865
0	93	168520.6357
0	94	274578.7884
0	95	331457.1657
0	96	310076.622
0	97	304882.4602
0	98	349828.4765
0	99	322234.0488
0	100	288361.3987
0	101	302712.386
0	102	318355.58
0	103	427885.5808
0	104	430410.139
0	105	447262.0368
0	106	398117.0378
0	107	426096.4505
0	108	414689.9018
0	109	216429.7202
0	110	203068.342
0	111	270279.276
0	112	277145.954
0	113	276780.1955
0	114	244693.2552
0	115	207194.9847
0	116	361550.3797
0	117	362534.2582
0	118	360765.0727
0	119	365924.9353
0	120	358447.4387
0	121	373461.0281
0	122	371559.8794
0	123	370535.3339
0	124	374828.0798
0	125	194342.4031
0	126	189742.7798
0	127	191059.6372
0	128	196988.3477
0	129	195622.7473
0	130	198046.8845
0	131	193553.1376
0	132	199235.5836
0	133	190603.5588
0	134	188709.9269
0	135	194431.2765
0	136	187539.2417
0	137	190803.8456
0	138	196225.0551
0	139	199374.1583
0	140	193534.221
0	141	189012.0835
0	142	191231.5096
0	143	210679.8502
0	144	204140.9742
0	145	189958.994
0	146	211301.5994
0	147	205737.938
0	148	203782.8146
0	149	207504.2213
0	150	203659.2827
0	151	208534.3948
0	152	191066.2845
0	153	189581.4534
0	154	201578.0988
0	155	203703.1635
0	156	201437.402
0	157	192063.5646
0	158	192390.7673
0	159	192247.4687
0	160	193457.7144
0	161	189820.6823
0	162	189689.1585
0	163	196444.4775
0	164	199107.9894
0	165	197397.6896
0	166	194695.1638
0	167	194702.7909
0	168	193812.2382
0	169	195053.5857
0	170	194443.5221
0	171	196642.4302
0	172	192647.5245
0	173	192308.9528
0	174	194952.7486
0	175	195678.9818
0	176	195874.1537
0	177	196839.1759
0	178	191863.9212
0	179	198463.486
1	2	72564.27237
1	3	96048.51298
1	4	117621.442
1	5	223057.9023
1	6	240374.0588
1	7	220787.2613
1	8	189859.7813
1	9	118728.3023
1	10	116483.1675
1	11	194206.79
1	12	88563.3429
1	13	83486.36877
1	14	340519.4314
1	15	116305.0555
1	16	406972.9297
1	17	101100.2376
1	18	98142.09756
1	19	87649.4006
1	20	129176.2867
1	21	113464.9439
1	22	124335.1674
1	23	145910.8437
1	24	132189.7607
1	25	200251.4667
1	26	167675.2404
1	27	183104.0193
1	28	241799.1141
1	29	382453.9113
1	30	229405.7242
1	31	185090.186
1	32	195182.3516
1	33	232078.1365
1	34	241751.9947
1	35	309016.7496
1	36	320403.46
1	37	204053.8845
1	38	194423.9732
1	39	204062.3532
1	40	214236.8395
1	41	157154.4448
1	42	159337.23
1	43	157900.6568
1	44	187098.2718
1	45	188668.0588
1	46	190007.3888
1	47	156242.4242
1	48	156238.6705
1	49	153708.2462
1	50	154387.9291
1	51	325025.4907
1	52	162116.5451
1	53	191315.5479
1	54	199026.2287
1	55	111672.9506
1	56	400566.7756
1	57	255928.7839
1	58	67635.74962
1	59	85428.29155
1	60	282460.6264
1	61	93171.12954
1	62	59582.32383
1	63	86754.3075
1	64	40684.8446
1	65	46445.51446
1	66	50857.31774
1	67	87212.41385
1	68	159009.8534
1	69	108814.8057
1	70	103726.0027
1	71	104766.4652
1	72	91324.26627
1	73	154961.8031
1	74	155313.8136
1	75	121276.16
1	76	297544.5721
1	77	239040.6259
1	78	243115.8089
1	79	198737.5254
1	80	198733.862
1	81	199223.6153
1	82	196985.4156
1	83	196054.1873
1	84	368900.8146
1	85	248288.9626
1	86	166843.3407
1	87	199370.7292
1	88	202380.1784
1	89	163514.1302
1	90	188797.6897
1	91	233658.4062
1	92	204086.576
1	93	250733.1042
1	94	134339.1045
1	95	198675.7231
1	96	166909.8116
1	97	187172.5831
1	98	201320.8189
1	99	169385.2777
1	100	132439.6359
1	101	174947.4842
1	102	186696.1555
1	103	165365.7272
1	104	161450.087
1	105	187091.7494
1	106	125532.9037
1	107	149725.599
1	108	143441.9487
1	109	261412.7564
1	110	244594.6167
1	111	181822.5479
1	112	192667.2942
1	113	210526.5819
1	114	135082.9759
1	115	147571.2316
1	116	112836.6434
1	117	116069.2313
1	118	115603.54
1	119	117228.5758
1	120	115605.1937
1	121	114940.7924
1	122	115181.2502
1	123	114584.6257
1	124	116381.6139
1	125	208597.6433
1	126	218602.0534
1	127	208523.8867
1	128	209743.9619
1	129	206161.5385
1	130	205607.0708
1	131	211365.8617
1	132	206198.2673
1	133	207652.341
1	134	212234.1463
1	135	210266.315
1	136	210806.8417
1	137	212099.0694
1	138	203778.0504
1	139	204531.61
1	140	206228.5858
1	141	209224.4917
1	142	215815.8275
1	143	215290.7506
1	144	215287.0432
1	145	211340.0187
1	146	212332.9552
1	147	213769.2648
1	148	213078.5729
1	149	213172.7297
1	150	214229.2929
1	151	215035.0951
1	152	213273.5384
1	153	210351.1797
1	154	205813.7416
1	155	204538.7736
1	156	203889.6104
1	157	210853.982
1	158	209580.4068
1	159	211984.0149
1	160	213247.8965
1	161	213786.8111
1	162	216874.0736
1	163	224199.9275
1	164	221663.5538
1	165	223455.5413
1	166	223625.5479
1	167	222888.1545
1	168	222737.9169
1	169	221082.5305
1	170	221888.4715
1	171	220339.0302
1	172	222940.4738
1	173	224294.8629
1	174	218983.8023
1	175	218199.9984
1	176	220274.1341
1	177	219182.8996
1	178	226649.3459
1	179	220346.9311
2	3	24084.79105
2	4	51274.17676
2	5	153274.9552
2	6	172741.71
2	7	156382.1199
2	8	120662.6932
2	9	156332.7306
2	10	111026.2619
2	11	145663.36
2	12	50084.4189
2	13	66455.26932
2	14	280059.0342
2	15	65995.20652
2	16	346112.337
2	17	110110.4726
2	18	37757.13815
2	19	29729.96552
2	20	153597.2695
2	21	142097.6251
2	22	102271.0764
2	23	140187.7967
2	24	122559.196
2	25	132980.7666
2	26	190205.3169
2	27	204165.6857
2	28	176682.625
2	29	322119.5885
2	30	162503.8674
2	31	113171.5633
2	32	124318.186
2	33	168580.0775
2	34	207663.2514
2	35	284055.8704
2	36	265273.0345
2	37	132840.0543
2	38	121952.7162
2	39	133014.3047
2	40	144540.4586
2	41	90526.4186
2	42	92843.58688
2	43	88170.0051
2	44	127505.6825
2	45	128737.7661
2	46	130539.5602
2	47	98403.6134
2	48	97448.14421
2	49	94767.68176
2	50	88307.27164
2	51	262867.208
2	52	96457.30069
2	53	131657.9155
2	54	150948.2133
2	55	78864.54191
2	56	353756.4473
2	57	194660.807
2	58	86125.2158
2	59	61480.97078
2	60	222917.4047
2	61	30423.78979
2	62	18813.24666
2	63	47244.88755
2	64	32111.47099
2	65	29993.60575
2	66	22283.89681
2	67	71366.7525
2	68	100812.2304
2	69	72793.36987
2	70	85534.89525
2	71	39876.81062
2	72	80644.88155
2	73	98651.84945
2	74	98368.75041
2	75	57166.88723
2	76	256346.1845
2	77	192162.822
2	78	198993.0624
2	79	140053.0558
2	80	139486.1687
2	81	140070.9169
2	82	137405.3963
2	83	136946.231
2	84	316679.5496
2	85	201086.1536
2	86	107328.4081
2	87	139865.4781
2	88	143015.0425
2	89	103879.8624
2	90	135695.7777
2	91	194032.2585
2	92	155468.8362
2	93	197324.5191
2	94	65347.21841
2	95	126784.2083
2	96	94397.05466
2	97	114629.2346
2	98	131035.1437
2	99	97442.73202
2	100	60905.15489
2	101	102411.2883
2	102	114312.4274
2	103	129283.4984
2	104	129075.3762
2	105	151259.7204
2	106	92860.92811
2	107	121588.9413
2	108	111259.0794
2	109	198522.2908
2	110	184327.9964
2	111	111761.8203
2	112	121743.7942
2	113	139675.2971
2	114	171060.7833
2	115	166338.0072
2	116	61826.15125
2	117	64238.56027
2	118	62881.92682
2	119	67001.89756
2	120	61481.91618
2	121	70883.75352
2	122	69675.27528
2	123	68693.63937
2	124	72479.42792
2	125	152993.0911
2	126	163022.5997
2	127	153848.8848
2	128	153279.3783
2	129	150523.6491
2	130	149367.526
2	131	155626.1882
2	132	149558.3561
2	133	153232.7508
2	134	157709.1295
2	135	154425.2718
2	136	156810.0398
2	137	157014.0354
2	138	148299.2751
2	139	148064.1939
2	140	151172.5893
2	141	155034.2656
2	142	160163.5946
2	143	154960.2211
2	144	156465.3172
2	145	156587.6522
2	146	152078.3093
2	147	154697.3856
2	148	154537.0398
2	149	153733.402
2	150	155614.2744
2	151	155209.5416
2	152	157968.9473
2	153	155839.268
2	154	148589.3633
2	155	146897.3223
2	156	146936.7063
2	157	155584.1235
2	158	154386.9798
2	159	156520.5324
2	160	157307.6935
2	161	158754.904
2	162	161504.2924
2	163	166448.8443
2	164	163497.0103
2	165	165542.7116
2	166	166332.4566
2	167	165656.8814
2	168	165733.0278
2	169	163927.8241
2	170	164808.0043
2	171	162868.3441
2	172	166198.0828
2	173	167511.7799
2	174	162050.4205
2	175	161163.1549
2	176	162994.5716
2	177	161769.2725
2	178	169768.273
2	179	162440.9779
3	4	41017.07608
3	5	134005.7776
3	6	155076.9215
3	7	141342.0113
3	8	96824.45931
3	9	177267.8673
3	10	124578.5936
3	11	140391.7813
3	12	49503.76645
3	13	71293.51848
3	14	266000.9963
3	15	66503.0242
3	16	331456.8798
3	17	127336.6555
3	18	25890.65725
3	19	25107.42779
3	20	172220.6541
3	21	161845.0648
3	22	111272.8805
3	23	151962.6757
3	24	134130.1431
3	25	109591.568
3	26	207564.4693
3	27	220926.5232
3	28	160808.4768
3	29	307866.3469
3	30	145532.5533
3	31	91817.40994
3	32	100236.5913
3	33	153937.5259
3	34	207084.0773
3	35	285663.7465
3	36	254165.5216
3	37	108760.0059
3	38	98429.82729
3	39	112643.2752
3	40	125451.912
3	41	75799.12573
3	42	78120.69563
3	43	70265.05544
3	44	116552.5012
3	45	117513.7348
3	46	119552.0038
3	47	90180.17078
3	48	88631.12395
3	49	86039.52186
3	50	74225.61394
3	51	247975.7714
3	52	82309.25871
3	53	120504.9013
3	54	145710.4026
3	55	74280.28413
3	56	345843.6841
3	57	181018.5044
3	58	106796.5273
3	59	64650.55966
3	60	209909.2891
3	61	19945.97315
3	62	38043.3574
3	63	47140.46432
3	64	55365.34921
3	65	51206.55421
3	66	45210.5375
3	67	86037.29337
3	68	92175.01831
3	69	67684.2187
3	70	86262.55279
3	71	22444.21629
3	72	95561.11467
3	73	91438.89807
3	74	90754.08432
3	75	48332.71443
3	76	251869.578
3	77	186288.8091
3	78	194257.2497
3	79	129230.887
3	80	128326.465
3	81	128952.4375
3	82	126101.7794
3	83	125961.0586
3	84	306554.2334
3	85	194854.8321
3	86	97377.73062
3	87	128528.917
3	88	131667.9082
3	89	94046.7694
3	90	128367.3918
3	91	191441.0997
3	92	149790.8096
3	93	188060.6399
3	94	49731.88452
3	95	102812.3968
3	96	71005.2937
3	97	91797.89826
3	98	106994.54
3	99	73473.55617
3	100	41540.96219
3	101	79669.82877
3	102	90655.38855
3	103	118530.3069
3	104	119852.0074
3	105	139615.1324
3	106	86445.094
3	107	114554.9594
3	108	103310.2763
3	109	183822.4618
3	110	171458.8576
3	111	92816.88418
3	112	101650.2643
3	113	119461.9044
3	114	191452.1168
3	115	183417.5678
3	116	50384.66483
3	117	51839.57378
3	118	50154.94528
3	119	55121.99584
3	120	48091.00695
3	121	61900.17077
3	122	60091.61476
3	123	59061.39594
3	124	63316.80504
3	125	143607.6834
3	126	153361.7924
3	127	144968.0479
3	128	143385.3886
3	129	141196.371
3	130	139726.0978
3	131	146083.3094
3	132	139674.9428
3	133	144515.7293
3	134	148794.7321
3	135	144859.7538
3	136	148218.2574
3	137	147804.2068
3	138	139136.3601
3	139	138330.1478
3	140	142159.7108
3	141	146389.413
3	142	150540.086
3	143	142667.3272
3	144	145072.035
3	145	147578.9145
3	146	139907.5768
3	147	143197.4313
3	148	143366.3716
3	149	142031.6201
3	150	144369.6932
3	151	143228.2259
3	152	148606.2528
3	153	146988.835
3	154	138388.1204
3	155	136497.4609
3	156	136950.227
3	157	146311.8224
3	158	145194.6646
3	159	147109.676
3	160	147600.1613
3	161	149524.0434
3	162	152004.0267
3	163	155445.9904
3	164	152320.0999
3	165	154466.3905
3	166	155600.6227
3	167	154977.7439
3	168	155183.6746
3	169	153336.7343
3	170	154237.9193
3	171	152119.0683
3	172	155789.02
3	173	157046.6392
3	174	151636.8695
3	175	150712.5548
3	176	152354.2676
3	177	151081.7757
3	178	159192.0319
3	179	151445.3306
4	5	105603.9269
4	6	122994.903
4	7	105293.4245
4	8	104143.778
4	9	169899.4237
4	10	102885.5335
4	11	99444.14119
4	12	90507.73088
4	13	111866.1197
4	14	228786.7366
4	15	32548.31366
4	16	294845.5779
4	17	112776.8114
4	18	66058.45261
4	19	66065.81307
4	20	158551.0238
4	21	151541.3544
4	22	83201.6748
4	23	125730.9374
4	24	108449.8573
4	25	120018.9898
4	26	189835.2714
4	27	201596.6747
4	28	125811.1879
4	29	270845.6196
4	30	112299.4813
4	31	71542.80876
4	32	101740.1145
4	33	117380.97
4	34	167302.8892
4	35	246714.5458
4	36	214676.9944
4	37	107999.8507
4	38	89555.00001
4	39	87842.16694
4	40	96778.49743
4	41	39858.76783
4	42	42122.15755
4	43	41051.32517
4	44	76730.85852
4	45	77861.73947
4	46	79761.77717
4	47	49219.57338
4	48	47772.2507
4	49	45147.75339
4	50	37364.49027
4	51	211635.9942
4	52	45426.20822
4	53	80818.65953
4	54	104757.492
4	55	114654.5668
4	56	305136.174
4	57	143391.8764
4	58	102820.1649
4	59	105444.197
4	60	171725.2953
4	61	60845.95041
4	62	70059.01915
4	63	88107.98635
4	64	80351.41055
4	65	80697.85933
4	66	71952.47424
4	67	70891.10593
4	68	51293.75286
4	69	108033.4219
4	70	127276.0267
4	71	60205.44259
4	72	79400.02885
4	73	50423.17683
4	74	49741.88264
4	75	7478.548656
4	76	210905.3275
4	77	145271.895
4	78	153302.9313
4	79	89377.19906
4	80	88669.47193
4	81	89272.04929
4	82	86528.50319
4	83	86191.20374
4	84	266594.3757
4	85	153844.2645
4	86	56948.32683
4	87	88983.98297
4	88	92138.6701
4	89	53547.88799
4	90	87385.82684
4	91	150942.5411
4	92	108792.9646
4	93	147629.6704
4	94	17834.11259
4	95	99028.9469
4	96	64141.79805
4	97	78564.65781
4	98	109924.3368
4	99	72816.17624
4	100	24043.287
4	101	67150.60036
4	102	83741.81811
4	103	154816.6276
4	104	157255.9706
4	105	174685.4795
4	106	126006.4303
4	107	153359.2361
4	108	141816.2685
4	109	147300.9569
4	110	133130.2883
4	111	64808.16999
4	112	76452.21789
4	113	93954.17396
4	114	181925.9735
4	115	165769.4457
4	116	88801.13603
4	117	89565.18006
4	118	87782.37669
4	119	92969.7393
4	120	85415.78199
4	121	101013.1877
4	122	98988.50655
4	123	97979.26156
4	124	102289.0036
4	125	103131.8692
4	126	113016.0215
4	127	104327.4267
4	128	103111.8784
4	129	100693.1863
4	130	99337.55162
4	131	105673.1172
4	132	99386.58473
4	133	103826.3623
4	134	108173.2203
4	135	104455.1881
4	136	107502.7984
4	137	107276.6135
4	138	98570.75187
4	139	97975.09632
4	140	101553.055
4	141	105684.3047
4	142	110172.6359
4	143	103835.3683
4	144	105606.2077
4	145	106984.1259
4	146	100976.4972
4	147	103796.6757
4	148	103757.1145
4	149	102764.3
4	150	104808.3579
4	151	104161.9263
4	152	108134.7385
4	153	106343.809
4	154	98239.91019
4	155	96440.71348
4	156	96699.09415
4	157	105802.3171
4	158	104654.6691
4	159	106652.1442
4	160	107259.2895
4	161	109007.8381
4	162	111592.0038
4	163	115764.6111
4	164	112735.404
4	165	114826.0266
4	166	115766.9388
4	167	115114.1432
4	168	115251.914
4	169	113422.5417
4	170	114314.7995
4	171	112286.9627
4	172	115787.0201
4	173	117075.7928
4	174	111627.3813
4	175	110719.5309
4	176	112463.831
4	177	111213.6377
4	178	119283.2116
4	179	111750.8645
5	6	25796.3185
5	7	37193.65677
5	8	101556.6686
5	9	259932.7059
5	10	181540.6045
5	11	99101.25634
5	12	175881.6279
5	13	199433.6673
5	14	142705.6071
5	15	118151.5711
5	16	204304.5555
5	17	199862.6923
5	18	149271.2077
5	19	155353.5282
5	20	241498.1382
5	21	239525.172
5	22	155333.1899
5	23	190819.4745
5	24	178512.913
5	25	114701.2346
5	26	263399.1264
5	27	271120.3275
5	28	40880.99265
5	29	182446.6022
5	30	23948.58127
5	31	45643.48832
5	32	87729.01268
5	33	45086.58701
5	34	163551.4173
5	35	239129.3249
5	36	144413.8604
5	37	83690.03325
5	38	62774.579
5	39	23418.41534
5	40	8825.80002
5	41	67347.73763
5	42	65451.94124
5	43	65281.49163
5	44	63463.57395
5	45	61800.42923
5	46	62998.48545
5	47	82750.44846
5	48	80860.13455
5	49	82192.64299
5	50	70503.94556
5	51	122454.5426
5	52	64007.79253
5	53	61965.81822
5	54	101228.9465
5	55	188953.9191
5	56	244316.9685
5	57	69139.45156
5	58	201097.305
5	59	191994.5045
5	60	96001.85832
5	61	148321.565
5	62	170925.949
5	63	174504.9061
5	64	184580.7742
5	65	183216.9733
5	66	175350.6551
5	67	164645.7946
5	68	80392.34041
5	69	183206.1702
5	70	207389.6364
5	71	140371.5138
5	72	170369.784
5	73	86552.28684
5	74	85080.57593
5	75	102883.7355
5	76	176985.0512
5	77	119124.8554
5	78	131030.9315
5	79	64132.65172
5	80	61966.8992
5	81	62270.03929
5	82	60967.90723
5	83	62918.38146
5	84	197316.9977
5	85	122816.6354
5	86	72940.53468
5	87	60876.79214
5	88	61098.26466
5	89	74613.32112
5	90	84484.15298
5	91	141330.6037
5	92	100372.0248
5	93	100323.3682
5	94	88746.07465
5	95	74828.04791
5	96	74859.11301
5	97	55903.98485
5	98	93119.87393
5	99	83142.04831
5	100	92751.84618
5	101	63180.6125
5	102	68279.23762
5	103	205068.6078
5	104	211296.0212
5	105	217367.7292
5	106	194165.8623
5	107	213905.6518
5	108	202745.758
5	109	65288.51247
5	110	67160.159
5	111	41513.41867
5	112	32860.12066
5	113	16894.96079
5	114	268581.0605
5	115	241802.5616
5	116	160534.2619
5	117	159167.531
5	118	157661.7027
5	119	161925.1941
5	120	155274.0708
5	121	171975.1096
5	122	169645.0975
5	123	168943.0594
5	124	172460.5541
5	125	76089.02242
5	126	78005.55858
5	127	79635.78691
5	128	72854.69905
5	129	75715.04751
5	130	73371.1892
5	131	75932.78831
5	132	71857.88731
5	133	80481.87692
5	134	80805.17049
5	135	75378.1249
5	136	82561.5807
5	137	78613.47004
5	138	76147.05427
5	139	72440.30166
5	140	77925.7364
5	141	81568.67466
5	142	77080.71176
5	143	57057.81182
5	144	63770.69205
5	145	79771.44321
5	146	57163.19275
5	147	62492.48848
5	148	64697.07228
5	149	60829.59023
5	150	64521.69211
5	151	59310.84032
5	152	77963.32206
5	153	80528.58628
5	154	69550.64711
5	155	67878.97583
5	156	70553.31245
5	157	77691.66831
5	158	77801.11182
5	159	77115.19645
5	160	75440.51963
5	161	79130.95387
5	162	78442.63806
5	163	70362.90688
5	164	67872.54997
5	165	69448.60697
5	166	72181.38986
5	167	72240.48041
5	168	73165.07277
5	169	72090.52737
5	170	72614.28169
5	171	70561.6497
5	172	74334.5132
5	173	74554.85248
5	174	72519.76454
5	175	71911.75312
5	176	71360.72226
5	177	70537.90559
5	178	74871.43328
5	179	68692.03462
6	7	27673.21781
6	8	127165.7063
6	9	266771.1837
6	10	187047.5657
6	11	93201.4569
6	12	198945.7989
6	13	222471.5224
6	14	117099.0154
6	15	130018.5855
6	16	179468.2013
6	17	207112.6663
6	18	172130.7455
6	19	177534.5278
6	20	246319.172
6	21	246032.9999
6	22	160628.4508
6	23	192289.6611
6	24	181880.444
6	25	139933.1729
6	26	264893.0034
6	27	271288.8622
6	28	17893.92858
6	29	157223.3201
6	30	11888.29412
6	31	70444.7563
6	32	113215.0897
6	33	27679.67124
6	34	149882.9614
6	35	221956.5541
6	36	119086.4453
6	37	108732.8346
6	38	88496.40142
6	39	48721.79078
6	40	31986.67938
6	41	83235.96014
6	42	81039.3325
6	43	84925.91622
6	44	64790.01764
6	45	62896.66812
6	46	63172.66093
6	47	91033.54521
6	48	89785.41147
6	49	91710.75698
6	50	85988.80208
6	51	97034.33106
6	52	78360.86411
6	53	61833.15049
6	54	94011.77566
6	55	213345.987
6	56	219134.4656
6	57	45514.61587
6	58	212264.4261
6	59	215098.3955
6	60	70813.79437
6	61	170609.8884
6	62	190939.6283
6	63	197414.9957
6	64	203197.5671
6	65	202714.9447
6	66	194408.8244
6	67	175272.8084
6	68	88332.15313
6	69	207460.9834
6	70	231407.3064
6	71	163356.6455
6	72	179896.9372
6	73	94162.91264
6	74	92994.33729
6	75	119107.2517
6	76	156362.6002
6	77	103312.0552
6	78	115161.9144
6	79	60346.69722
