"pop.density","sigma","refugia.coords.1","refugia.coords.2","refugia.coords.3","refugia.coords.4","refugia.radii","refugia.time","expansion.time","expansion.speed","expansion.width","seed","score","dir","hab.fact","ntrees"
2.5893e-07,25482.0439,649996.097,586001.7507,4147693.7773,4051702.2579,71064.961,3985.6059,10825.4638,0.9999,94786.606,183357533,296960.5,"./run_076982/iter_000049",32,500
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6705,43273.2948,573069772,298282.1,"./run_847271/iter_000023",32,500
8.322e-08,7797.3983,490010.2314,554004.5776,4051702.2579,3891716.3923,156237.0214,8643.1372,17149.0826,0.9168,57138.3243,1072476611,319096.6,"./run_847271/iter_000100",32,500
8.4517e-08,5584.993,541102.2195,597973.8105,3853055.6208,4001605.9853,123804.1537,101551.9984,13545.0299,0.7213,43257.5163,622963436,364821.3,"./run_847271/iter_920365",32,500
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123139.9147,109477.3396,13388.1999,0.7197,43292.6738,515581748,369375.4,"./run_847271/iter_559763",32,500
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109377.3396,13388.1999,0.7197,43292.6738,212701690,386195.6,"./run_847271/iter_394599",32,500
8.4379e-08,5554.5461,546277.5031,594678.524,3844207.214,3985704.5983,123238.4579,107418.3988,13428.9431,0.7201,43283.5402,747005768,386700.6,"./run_847271/iter_816379",32,500
8.4517e-08,5584.993,542102.2195,597973.8105,3853055.6208,4001605.9853,123904.1537,101551.9984,13545.0299,0.7213,43257.5163,1950411014,388812.3,"./run_847271/iter_646037",32,500
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7207,43292.6738,1501732409,388851,"./run_847271/iter_227537",32,500
8.4517e-08,5584.993,542102.2195,597973.8105,3853055.6208,4001605.9853,123804.1537,101551.9984,13445.0299,0.7213,43257.5163,1508099679,389725.1,"./run_847271/iter_142330",32,500
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43366.1273,1862008648,390509.9,"./run_847271/iter_366431",32,500
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6715,43273.2948,1471715013,390585.8,"./run_847271/iter_327444",32,500
8.443e-08,5502.2256,544751.4009,595882.9797,3847441.3832,3991516.6927,123445.2246,105274.1787,13471.3738,0.7206,43374.0283,994185715,391981.8,"./run_847271/iter_519162",32,500
8.4379e-08,5454.5461,547277.5031,594678.524,3844207.214,3985704.5983,123238.4579,107418.3988,13428.9431,0.7201,43283.5402,1080183551,392443.1,"./run_847271/iter_931403",32,500
8.443e-08,5502.2256,545751.4009,595882.9797,3847441.3832,3991516.6927,123445.2246,105274.1787,13471.3738,0.7206,43274.0283,1074992001,392724,"./run_847271/iter_183542",32,500
8.443e-08,5502.2256,544751.4009,595882.9797,3847441.3832,3991516.6927,123345.2246,105274.1787,13471.3738,0.7206,43274.0283,952371126,395258.1,"./run_847271/iter_795554",32,500
8.3117e-08,5251.6236,553970.7876,586033.8834,3837690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,585008471,395357,"./run_847271/iter_766231",32,500
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6695,43273.2948,1491161374,395601,"./run_847271/iter_571065",32,500
8.443e-08,5502.2256,544751.4009,595882.9797,3847441.3832,3991516.6927,123445.2246,105274.1787,13471.3738,0.7216,43274.0283,1260539661,398004.1,"./run_847271/iter_895386",32,500
8.3131e-08,5152.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6705,43273.2948,1336629217,398615,"./run_847271/iter_019522",32,500
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13488.1999,0.7197,43292.6738,1674244238,399214.9,"./run_847271/iter_800159",32,500
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43166.1273,778212650,399868.5,"./run_847271/iter_872207",32,500
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7187,43292.6738,1602517221,401569.4,"./run_847271/iter_979312",32,500
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107116.0383,13247.0009,0.712,43266.1273,779387741,403725.6,"./run_847271/iter_554268",32,500
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4053060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,878465700,404970,"./run_847271/iter_713463",32,500
8.4379e-08,5454.5461,546277.5031,594678.524,3844207.214,3985704.5983,123238.4579,107418.3988,13428.9431,0.7201,43383.5402,1680654449,405326.1,"./run_847271/iter_889338",32,500
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,604218967,406573.7,"./run_847271/iter_557405",32,500
8.3117e-08,5351.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,1192621518,407076.3,"./run_847271/iter_339221",32,500
8.4517e-08,5484.993,542102.2195,597973.8105,3853055.6208,4001605.9853,123804.1537,101551.9984,13545.0299,0.7213,43257.5163,1605486138,410197.4,"./run_847271/iter_943513",32,500
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,122939.9147,109477.3396,13388.1999,0.7197,43292.6738,960860852,413152.2,"./run_847271/iter_536673",32,500
8.2131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6705,43273.2948,1988240706,413987.8,"./run_847271/iter_345647",32,500
8.4357e-08,5433.6213,545947.2554,594149.9309,3842787.8515,3983153.8755,123147.7154,108359.4211,13410.3217,0.72,43287.7147,947519011,415147.2,"./run_847271/iter_299354",32,500
8.5048e-08,6089.1335,525965.9324,611709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,1889071638,415363,"./run_847271/iter_464292",32,500
8.5357e-08,5433.6213,546947.2554,594149.9309,3842787.8515,3983153.8755,123147.7154,108359.4211,13410.3217,0.72,43287.7147,588804476,415698.8,"./run_847271/iter_659497",32,500
8.3117e-08,5251.6236,553970.7876,587033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,293337467,415763.2,"./run_847271/iter_352673",32,500
8.4517e-08,5584.993,542102.2195,597973.8105,3863055.6208,4001605.9853,123804.1537,101551.9984,13545.0299,0.7213,43257.5163,436244667,415960.3,"./run_847271/iter_366811",32,500
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3965751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,1659213779,415972,"./run_847271/iter_388068",32,500
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121867.8147,7302.3346,13249.1954,0.6705,43273.2948,1980237252,416102.9,"./run_847271/iter_081153",32,500
8.4331e-08,5408.7629,547742.9097,593521.9714,3851101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,1713300141,420412.9,"./run_847271/iter_930006",32,500
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107316.0383,13247.0009,0.712,43266.1273,643415557,420771.6,"./run_847271/iter_125256",32,500
8.443e-08,5502.2256,544751.4009,594882.9797,3847441.3832,3991516.6927,123445.2246,105274.1787,13471.3738,0.7206,43274.0283,375663036,420979.9,"./run_847271/iter_377450",32,500
8.5048e-08,6089.1335,524965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,1241515033,421039.2,"./run_847271/iter_848479",32,500
8.6112e-08,5639.1776,538610.9194,604501.8188,3860765.9263,4015861.2054,124641.5664,112893.105,13595.2411,0.7311,43331.5992,923467437,422535.9,"./run_847271/iter_047642",32,500
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3970123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,1932704575,423018.2,"./run_847271/iter_497493",32,500
8.4357e-08,5433.6213,546947.2554,593149.9309,3842787.8515,3983153.8755,123147.7154,108359.4211,13410.3217,0.72,43287.7147,1967957537,423114.7,"./run_847271/iter_239026",32,500
8.4517e-08,5584.993,542102.2195,597973.8105,3853055.6208,4001605.9853,123804.1537,101551.9984,13645.0299,0.7213,43257.5163,129122644,423211.6,"./run_847271/iter_545237",32,500
8.4517e-08,5584.993,542102.2195,597973.8105,3853055.6208,4001605.9853,123804.1537,101551.9984,13545.0299,0.7203,43257.5163,235316410,423682.6,"./run_847271/iter_138902",32,500
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,14093.6725,0.726,43156.9415,1650824568,423808.5,"./run_847271/iter_903647",32,500
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3990123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,1935739091,424655.6,"./run_847271/iter_602969",32,500
8.5048e-08,6089.1335,526965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,1492347544,425170.9,"./run_847271/iter_617049",32,500
8.3117e-08,5251.6236,553970.7876,586033.8834,3817690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,951322861,425178.4,"./run_847271/iter_653719",32,500
8.3117e-08,5251.6236,552970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,954575357,425849,"./run_847271/iter_764446",32,500
8.4517e-08,5584.993,542102.2195,597973.8105,3853055.6208,3991605.9853,123804.1537,101551.9984,13545.0299,0.7213,43257.5163,272345186,426443.3,"./run_847271/iter_589921",32,500
8.4357e-08,5433.6213,547947.2554,594149.9309,3842787.8515,3983153.8755,123147.7154,108359.4211,13410.3217,0.72,43287.7147,1080242609,426755.7,"./run_847271/iter_697235",32,500
8.443e-08,5602.2256,544751.4009,595882.9797,3847441.3832,3991516.6927,123445.2246,105274.1787,13471.3738,0.7206,43274.0283,472341167,426837.3,"./run_847271/iter_230126",32,500
8.6112e-08,5639.1776,538610.9194,604501.8188,3860765.9263,4015861.2054,124641.5664,112793.105,13495.2411,0.7311,43331.5992,1381989400,426872.6,"./run_847271/iter_711329",32,500
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.727,43156.9415,401720037,426898.8,"./run_847271/iter_815066",32,500
8.5048e-08,6089.1335,525965.9324,610709.1584,3877252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,1810803850,426958.5,"./run_847271/iter_830045",32,500
8.4379e-08,5354.5461,546277.5031,594678.524,3844207.214,3985704.5983,123238.4579,107418.3988,13428.9431,0.7201,43283.5402,1659334546,426976.9,"./run_847271/iter_547580",32,500
