"pop.density","sigma","refugia.coords.1","refugia.coords.2","refugia.coords.3","refugia.coords.4","refugia.radii","refugia.time","expansion.time","expansion.speed","expansion.width","seed","score","dir","ntrees","hab.fact"
8.322e-08,7797.3983,490010.2314,554004.5776,4051702.2579,3891716.3923,156237.0214,8643.1372,17149.0826,0.9168,57138.3243,1764962617,228273.9,"./run_780958/iter_000001",500,32
8.4379e-08,5454.5461,546277.5031,594678.524,3844207.214,3985704.5983,123238.4579,107418.3988,13428.9431,0.7201,43383.5402,688779470,255932.6,"./run_301094/iter_000001",500,32
8.4357e-08,5333.6213,546947.2554,594149.9309,3842787.8515,3983153.8755,123147.7154,108359.4211,13410.3217,0.72,43287.7147,28139791,273635,"./run_369849/iter_000001",500,32
8.4379e-08,5454.5461,546277.5031,594678.524,3844207.214,3985704.5983,123238.4579,107418.3988,13428.9431,0.7191,43283.5402,1373929825,273837.6,"./run_004755/iter_000001",500,32
8.4357e-08,5433.6213,546947.2554,595149.9309,3842787.8515,3983153.8755,123147.7154,108359.4211,13410.3217,0.72,43287.7147,366929858,283101.1,"./run_429035/iter_000001",500,32
8.4379e-08,5454.5461,546277.5031,594678.524,3844207.214,3985704.5983,123238.4579,107418.3988,13428.9431,0.7201,43283.5402,1076384217,283580.8,"./run_258603/iter_000001",500,32
8.4517e-08,5584.993,542102.2195,597973.8105,3853055.6208,4001605.9853,123804.1537,101551.9984,13545.0299,0.7213,43357.5163,201287038,284394.9,"./run_074237/iter_000001",500,32
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13488.1999,0.7197,43292.6738,59890304,295883,"./run_714916/iter_000001",500,32
2.5893e-07,25482.0439,649996.097,586001.7507,4147693.7773,4051702.2579,71064.961,3985.6059,10825.4638,0.9999,94786.606,183357533,296960.5,"./run_076982/iter_000049",500,32
8.4517e-08,5584.993,542102.2195,597973.8105,3853055.6208,4001605.9853,123804.1537,101551.9984,13445.0299,0.7213,43257.5163,993499819,297200.3,"./run_469049/iter_000001",500,32
8.4331e-08,5408.7629,548742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,1290414544,297476.3,"./run_518956/iter_000001",500,32
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6705,43273.2948,573069772,298282.1,"./run_847271/iter_000023",500,32
8.4379e-08,5454.5461,546277.5031,594678.524,3844207.214,3985704.5983,123238.4579,107418.3988,13428.9431,0.7201,43383.5402,727097654,306250.7,"./run_073627/iter_000001",500,32
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,122067.8147,7302.3346,13249.1954,0.6705,43273.2948,1245282191,309209.6,"./run_955209/iter_000001",500,32
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125890.4072,78880.0249,13993.6725,0.726,43156.9415,1078585452,312127.4,"./run_582565/iter_000001",500,32
8.4517e-08,5584.993,542102.2195,597973.8105,3863055.6208,4001605.9853,123804.1537,101551.9984,13545.0299,0.7213,43257.5163,358619307,313470.9,"./run_416746/iter_000001",500,32
8.443e-08,5502.2256,544751.4009,595882.9797,3857441.3832,3991516.6927,123445.2246,105274.1787,13471.3738,0.7206,43274.0283,939591087,317669.9,"./run_701578/iter_000001",500,32
9.5286e-08,6826.3963,492558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14662.0277,0.7894,43532.1635,209978628,317798.3,"./run_545202/iter_000001",500,32
8.322e-08,7797.3983,490010.2314,554004.5776,4051702.2579,3891716.3923,156237.0214,8643.1372,17149.0826,0.9168,57138.3243,1072476611,319096.6,"./run_847271/iter_000100",500,32
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6715,43273.2948,1760924145,325167,"./run_412235/iter_000001",500,32
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43256.9415,938226546,328413.6,"./run_598794/iter_000001",500,32
8.443e-08,5502.2256,544751.4009,595882.9797,3837441.3832,3991516.6927,123445.2246,105274.1787,13471.3738,0.7206,43274.0283,964462885,332316.9,"./run_161575/iter_000001",500,32
9.5286e-08,6826.3963,490558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14662.0277,0.7894,43532.1635,48445931,336206.3,"./run_313982/iter_000001",500,32
8.443e-08,5502.2256,544751.4009,595882.9797,3847441.3832,3991516.6927,123445.2246,105274.1787,13471.3738,0.7206,43374.0283,1569674442,336905.2,"./run_933885/iter_000001",500,32
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14762.0277,0.7894,43532.1635,1036046179,342429.7,"./run_545554/iter_000001",500,32
8.2516e-08,5147.5604,649996.097,649996.097,4115696.6041,4019705.0848,166181.7165,91018.4888,15472.217,0.718,30392.436,812840490,356872.5,"./run_606180/iter_000005",500,32
6.1664e-08,5159.0882,586001.7507,617998.9238,4019705.0848,3667736.1805,129867.9571,84199.9407,18808.4713,0.997,52852.2278,1820001032,361295.6,"./run_073627/iter_000006",500,32
8.4517e-08,5584.993,541102.2195,597973.8105,3853055.6208,4001605.9853,123804.1537,101551.9984,13545.0299,0.7213,43257.5163,622963436,364821.3,"./run_847271/iter_920365",500,32
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123139.9147,109477.3396,13388.1999,0.7197,43292.6738,515581748,369375.4,"./run_847271/iter_559763",500,32
8.4357e-08,5433.6213,546947.2554,594149.9309,3842787.8515,3993153.8755,123147.7154,108359.4211,13410.3217,0.72,43287.7147,264937218,369706,"./run_847271/iter_503870",500,32
8.4517e-08,5584.993,542102.2195,597973.8105,3853055.6208,4001605.9853,123804.1537,101551.9984,13545.0299,0.7213,43157.5163,1923438228,373758.1,"./run_829585/iter_000001",500,32
8.4747e-08,5468.1897,545407.1716,596267.39,3846085.8465,3979137.436,123447.3133,109051.5712,13441.9357,0.7221,43298.1655,807028351,377128.7,"./run_847271/iter_750749",500,32
8.3332e-08,5409.6388,547714.875,593544.0975,3841161.0854,3980230.4298,123043.7131,109437.9499,13388.9793,0.7197,43292.4991,1511892241,381253.6,"./run_847271/iter_062791",500,32
9.7233e-08,7207.9534,586001.7507,458013.0582,4051702.2579,3955710.7385,82989.5951,89105.1699,19760.7655,0.959,64506.0416,709545968,384141.7,"./run_301094/iter_000002",500,32
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109377.3396,13388.1999,0.7197,43292.6738,212701690,386195.6,"./run_847271/iter_394599",500,32
8.4379e-08,5554.5461,546277.5031,594678.524,3844207.214,3985704.5983,123238.4579,107418.3988,13428.9431,0.7201,43283.5402,747005768,386700.6,"./run_847271/iter_816379",500,32
8.3381e-08,5416.5929,547440.7902,593867.5416,3841745.9968,3981288.3104,123091.6485,109392.0599,13395.2689,0.72,43293.1721,945293695,388632.1,"./run_847271/iter_387905",500,32
