"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37"
"habitat area removed (km2)",0,0,0,0,0,0,0,0,0,0,26,74,62,212,18,173,23,22,509,30,376,25,195,26,30,17,229,57,52,70,55,32,14,4,0,2,1,1
"percent habitat removed",0,0,0,0,0,0,0,0,0,0,0.000188650495933131,0.00053692833457891,0.000449858874917465,0.00153822712068553,0.000130604189492167,0.00125525137678583,0.000166883131017769,0.000159627342712649,0.00369319624730629,0.000217673649153612,0.00272817640272527,0.00018139470762801,0.00141487871949848,0.000188650495933131,0.000217673649153612,0.000123348401187047,0.00166157552187257,0.000413579933391863,0.000377300991866261,0.000507905181358429,0.000399068356781623,0.000232185225763853,0.000101581036271686,2.90231532204816e-05,0,1.45115766102408e-05,7.25578830512041e-06,7.25578830512041e-06
"significantly isolated area (km2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,0,0,0,3129,2548,0,0,0,0,0,0
"percent significantly isolated area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00564500330138368,0,0,0,0.0227033616067218,0.0184877486014468,0,0,0,0,0,0
"mean increase on significantly isolated area",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1754.77432222251,NaN,NaN,NaN,10454.962872389,4412.57788996607,NaN,NaN,NaN,NaN,NaN,NaN
"mean relative increase on significantly isolated area",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.420060560444252,NaN,NaN,NaN,0.288920837578985,0.0969834280129036,NaN,NaN,NaN,NaN,NaN,NaN
"isolated area (km2)",0,0,0,0,0,0,0,0,0,0,1402,55899,34974,79400,25471,67035,35420,44698,38947,22221,30698,36644,97881,96483,25975,33530,16041,36063,36063,42267,3129,3129,40450,0,0,44465,91981,100854
"percent isolated area",0,0,0,0,0,0,0,0,0,0,0.0101726152037788,0.405591310467926,0.253763940183281,0.57610959142656,0.184812183919722,0.486391769033747,0.257000021767365,0.324319225662272,0.282591187119525,0.161230871928081,0.222738189390586,0.265881106652832,0.710203815093491,0.700060223042932,0.188469101225503,0.243286581870687,0.116390100202436,0.261665493647557,0.261665493647557,0.306680404292524,0.0227033616067218,0.0227033616067218,0.293496636942121,0,0,0.322628626987179,0.66739466409328,0.731775273724614
"mean increase on isolated area",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000268425784476848,9.22181056699421,7.36490938342555,29.0722966834096,4.39307232730532,34.7308381604311,3.78033413008868,2.95539917393534,57.2399372622221,10.688229289833,54.7488256881429,11.6587097671241,18.4211052464769,3.00598397535652,5.43457780228329,2.09673504649079,105.030575042732,8.5276805773897,5.13305317166825,12.1814208293864,10454.962872389,2977.23023093244,3.50871286206122,NaN,NaN,0.631432596007219,0.13138166653899,0.103289812258901
"max increase",0,0,0,0,0,0,0,0,0,0,0.00408932426216779,246.706024239894,74.6026228061744,789.171887012254,178.84579535194,906.799037036232,62.6454340761863,55.7731277349242,1069.07907759451,311.898399880121,1668.1818770962,557.613117953895,329.34568709168,35.591407535367,151.136902322917,75.9842922681804,1981.30132358567,266.384328498237,158.09309000104,255.215015795169,11002.9502712672,5720.94577520377,45.5092454822961,0,0,19.1767268973967,2.42779130987293,2.7852222716446
"max decrease",0,0,0,0,0,0,0,0,0,0,-0.0104180703419843,-9.53952412071158,-27.6003535457912,-122.529145880074,-11.4791677083551,-134.592143002435,-12.8794908510417,-12.2928101388748,-321.364911998076,-16.8500895517577,-173.229766775192,-12.3784753305033,-115.97392998648,-22.4662914992869,-18.6271630018994,-11.7598173412043,-134.210125991693,-60.4165289172015,-29.7688829514013,-44.8229955720806,-24.3384342168174,-13.2748218808556,-10.5169073330069,-0.560945260379185,0,-2.29883292950382,-1.54169160482707,-1.32735814260687
"mean relative increase",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.30151721541925e-08,0.00311298771956777,0.00294633582527754,0.0118919243880238,0.00144277009587224,0.0159149874810529,0.00174350413808171,0.00154735235098381,0.0262846589974118,0.00335039243381728,0.018156140098469,0.00353055820456715,0.00870357733843321,0.0013301055667015,0.00169784784095695,0.000750167598624675,0.0284873112737054,0.00360889476655437,0.00234761947297114,0.00586777152884201,0.288920837578985,0.0689633170592451,0.00124447306287188,NaN,NaN,0.000333199439822958,4.40887556289176e-05,4.71746798287036e-05
"mean relative increase on isolated area",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.30151721541925e-08,0.00311298771956777,0.00294633582527754,0.0118919243880238,0.00144277009587224,0.0159149874810529,0.00174350413808171,0.00154735235098381,0.0262846589974118,0.00335039243381728,0.018156140098469,0.00353055820456715,0.00870357733843321,0.0013301055667015,0.00169784784095695,0.000750167598624675,0.0284873112737054,0.00360889476655437,0.00234761947297114,0.00586777152884201,0.288920837578985,0.0689633170592451,0.00124447306287188,NaN,NaN,0.000333199439822958,4.40887556289176e-05,4.71746798287036e-05
