"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48"
"habitat area removed (km2)",0,0,18,31,441,0,120,35,128,148,31,481,25,125,160,18,28,561,658,23,115,372,232,82,69,25,65,26,17,1014,27,83,121,685,144,16,51,349,121,55,26,26,4,1,0,2,1,1,1
"percent habitat removed",0,0,0.000130604189492167,0.000224929437458733,0.0031998026425581,0,0.000870694596614449,0.000253952590679214,0.000928740903055412,0.00107385666915782,0.000224929437458733,0.00349003417476292,0.00018139470762801,0.000906973538140051,0.00116092612881927,0.000130604189492167,0.000203162072543371,0.00407049723917255,0.00477430870476923,0.000166883131017769,0.000834415655088847,0.00269915324950479,0.00168334288678794,0.000594974641019874,0.000500649393053308,0.00018139470762801,0.000471626239832827,0.000188650495933131,0.000123348401187047,0.0073573693413921,0.000195906284238251,0.000602230429324994,0.00087795038491957,0.00497021498900748,0.00104483351593734,0.000116092612881927,0.000370045203561141,0.00253227011848702,0.00087795038491957,0.000399068356781623,0.000188650495933131,0.000188650495933131,2.90231532204816e-05,7.25578830512041e-06,0,1.45115766102408e-05,7.25578830512041e-06,7.25578830512041e-06,7.25578830512041e-06
"significantly isolated area (km2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3129,0,2548,0,0,0,0,0,0,0
"percent significantly isolated area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227033616067218,0,0.0184877486014468,0,0,0,0,0,0,0
"mean increase on significantly isolated area",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10454.962872389,NaN,3077.56613478871,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"mean relative increase on significantly isolated area",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.288920837578985,NaN,0.0660754824644766,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"isolated area (km2)",0,0,0,0,5962,0,35857,31393,54457,64315,0,41928,80470,83308,83214,25471,44698,78360,38341,21228,104851,30698,100619,0,69312,96483,33010,49594,33530,4406,0,42545,43126,32672,129339,40450,43732,39807,41658,3129,0,3129,3129,137166,0,44465,6660,91766,100854
"percent isolated area",0,0,0,0,0.0432590098751279,0,0.260170801256703,0.227780962262645,0.395128463731942,0.466656024843819,0,0.304220692057089,0.583873284913039,0.604465212122971,0.60378316802229,0.184812183919722,0.324319225662272,0.568563571589235,0.278194179406622,0.154025874141096,0.76077665958018,0.222738189390586,0.730070163472911,0,0.502913199004506,0.700060223042932,0.239513571952025,0.359843565204142,0.243286581870687,0.0319690032723605,0,0.308697513441348,0.312913126446623,0.237061115504894,0.938456403595969,0.293496636942121,0.317310134159526,0.288831165061928,0.302261629214706,0.0227033616067218,0,0.0227033616067218,0.0227033616067218,0.995247458660146,0,0.322628626987179,0.0483235501121019,0.66583466960768,0.731775273724614
"mean increase on isolated area",NaN,NaN,NaN,NaN,154.293949628969,NaN,0.0174698483673202,5.65602405974141,29.0719625419558,51.615848018345,NaN,110.838719263114,67.6428897219838,71.094902074787,13.9226443894631,4.39307232730532,3.71788274088278,92.7099765587443,92.6172859177461,7.54727713766236,15.3171837773029,51.1712856363062,24.1696998514226,NaN,6.88446757040875,2.9121098511309,7.6275656493919,3.02346965370889,2.09673504649079,125.593649351014,NaN,17.2597204322467,29.8237984815628,102.467111934139,39.5495395368985,3.49451006853037,12.4397584526579,83.2075912218958,15.1270832915651,10454.962872389,NaN,2076.04266423534,930.56776890363,0.000585909564211447,NaN,0.631432596007219,0.390993037128737,0.0901698960200244,0.103475422725768
"max increase",0,0,0,1.03790284257722,1232.71960607467,0,0.3833778542039,67.7563589589795,726.005058037774,994.485702596456,0,1865.59516108983,970.621847349144,1043.23934935525,235.043583573507,178.84579535194,65.900243109562,2420.17593606762,2003.122894955,243.317968840049,255.619625076258,1562.24357391026,423.37254728743,0.00373184339287036,145.809354309836,34.5738911712796,216.111442473091,35.3107673549885,75.9842922681804,889.451134658185,0,183.798233927864,373.731579384079,1558.29161881078,806.346114098857,49.4127709207042,161.620868661335,1517.14775797182,298.369954938918,11002.9502712672,0,4267.54525587218,1028.97690247424,0.00754137310650549,0,19.1767268973967,5.62405787893499,1.92909176193254,3.85634528548016
