"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43"
"habitat area removed (km2)",0,0,0,0,0,0,0,66,35,21,159,63,38,18,276,175,23,28,11,512,23,372,129,47,42,216,119,74,25,31,26,17,232,339,129,43,55,32,14,4,0,2,1,1
"percent habitat removed",0,0,0,0,0,0,0,0.000478882028137947,0.000253952590679214,0.000152371554407529,0.00115367034051415,0.000457114663222586,0.000275719955594576,0.000130604189492167,0.00200259757221323,0.00126976295339607,0.000166883131017769,0.000203162072543371,7.98136713563245e-05,0.00371496361222165,0.000166883131017769,0.00269915324950479,0.000935996691360533,0.000341022050340659,0.000304743108815057,0.00156725027390601,0.000863438808309329,0.00053692833457891,0.00018139470762801,0.000224929437458733,0.000188650495933131,0.000123348401187047,0.00168334288678794,0.00245971223543582,0.000935996691360533,0.000311998897120178,0.000399068356781623,0.000232185225763853,0.000101581036271686,2.90231532204816e-05,0,1.45115766102408e-05,7.25578830512041e-06,7.25578830512041e-06
"significantly isolated area (km2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,0,0,0,0,0,778,0,0,0,3129,2548,0,0,0,0,0,0
"percent significantly isolated area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00564500330138368,0,0,0,0,0,0.00564500330138368,0,0,0,0.0227033616067218,0.0184877486014468,0,0,0,0,0,0
"mean increase on significantly isolated area",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2109.1669928484,NaN,NaN,NaN,NaN,NaN,1754.6573401652,NaN,NaN,NaN,10454.962872389,4412.57788996607,NaN,NaN,NaN,NaN,NaN,NaN
"mean relative increase on significantly isolated area",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.504189556239209,NaN,NaN,NaN,NaN,NaN,0.420034051518702,NaN,NaN,NaN,0.288920837578985,0.0969834280129036,NaN,NaN,NaN,NaN,NaN,NaN
"isolated area (km2)",0,0,0,0,0,0,0,42948,31393,43789,40442,34974,82666,25471,81060,67035,35420,44698,76444,38947,21228,30698,29122,0,16041,95912,20171,70303,96483,25251,49594,33530,16041,34510,40702,44465,3129,3129,40450,0,0,44465,91766,100854
"percent isolated area",0,0,0,0,0,0,0,0.311621596128311,0.227780962262645,0.317723714092918,0.29343859063568,0.253763940183281,0.599806996031084,0.184812183919722,0.58815420001306,0.486391769033747,0.257000021767365,0.324319225662272,0.554661481196625,0.282591187119525,0.154025874141096,0.222738189390586,0.211303067021717,0,0.116390100202436,0.695917167920709,0.146356505902584,0.51010368521488,0.700060223042932,0.183215910492595,0.359843565204142,0.243286581870687,0.116390100202436,0.250397254409705,0.295325095595011,0.322628626987179,0.0227033616067218,0.0227033616067218,0.293496636942121,0,0,0.322628626987179,0.66583466960768,0.731775273724614
"mean increase on isolated area",NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0147684592363384,5.65602405974141,1.91690212551158,26.64999278823,7.36490938342555,2.91868251003669,4.39307232730532,43.420907948766,34.9991716840585,3.78033413008868,3.71788274088278,0.968735427464165,57.1966082635215,7.54727713766236,51.1712856363062,26.1952040248732,NaN,2.85157311923721,19.4828416669092,96.7986694719327,7.3823838569469,2.9121098511309,5.5602299732312,3.02346965370889,2.09673504649079,104.98169289856,56.9359143477073,21.4999178624417,11.754736785231,10454.962872389,2977.23023093244,3.50871286206122,NaN,NaN,0.631432596007219,0.0901698960200244,0.103289812258901
"max increase",0,0,0,0,0,0,0,0.383490033945748,67.7563589589795,45.0516296008672,472.194939795545,74.6026228061744,49.6018000606932,178.84579535194,1254.54374943464,912.94272544088,62.6454340761863,65.900243109562,18.6960026791245,1069.02485407075,243.317968840049,1562.24357391026,1038.75522462636,0,59.6081414491117,366.144887070713,2509.38953823925,156.890101350575,34.5738911712796,151.122191451594,35.3107673549885,75.9842922681804,1981.22344337287,1002.73492505298,412.122217222906,150.778305471992,11002.9502712672,5720.94577520377,45.5092454822961,0,0,19.1767268973967,1.92909176193254,2.7852222716446
"max decrease",0,0,0,0,0,0,0,-0.0523289639852464,-38.7591435890042,-11.8286570721357,-38.8709670607464,-27.6003535457912,-21.3666453481833,-11.4791677083551,-160.454087293074,-133.616461875848,-12.8794908510417,-15.6393377856043,-6.16516953805694,-322.454782049833,-12.9134301450467,-170.980725236417,-53.2700383961128,-8.09679595873604,-6.76384903887447,-123.157959374429,-51.0382149155739,-41.5146376606062,-22.4081242354047,-19.1675384254443,-14.3070722448138,-11.7598173412043,-135.336675777431,-207.732245986246,-69.7011930418332,-11.1121767668781,-24.3384342168174,-13.2748218808556,-10.5169073330069,-0.560945260379185,0,-2.29883292950382,-0.55852843874618,-1.32735814260687
