"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46"
"habitat area removed (km2)",0,0,0,0,0,0,0,0,0,0,41,18,129,146,31,464,18,23,199,30,279,509,23,440,64,31,192,80,63,25,92,22,17,66,982,26,144,128,18,38,55,32,17,0,2,1,1
"percent habitat removed",0,0,0,0,0,0,0,0,0,0,0.000297487320509937,0.000130604189492167,0.000935996691360533,0.00105934509254758,0.000224929437458733,0.00336668577357587,0.000130604189492167,0.000166883131017769,0.00144390187271896,0.000217673649153612,0.00202436493712859,0.00369319624730629,0.000166883131017769,0.00319254685425298,0.000464370451527706,0.000224929437458733,0.00139311135458312,0.000580463064409633,0.000457114663222586,0.00018139470762801,0.000667532524071078,0.000159627342712649,0.000123348401187047,0.000478882028137947,0.00712518411562824,0.000188650495933131,0.00104483351593734,0.000928740903055412,0.000130604189492167,0.000275719955594576,0.000399068356781623,0.000232185225763853,0.000123348401187047,0,1.45115766102408e-05,7.25578830512041e-06,7.25578830512041e-06
"significantly isolated area (km2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3129,2548,0,0,0,0,0
"percent significantly isolated area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227033616067218,0.0184877486014468,0,0,0,0,0
"mean increase on significantly isolated area",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10454.962872389,4412.57788996607,NaN,NaN,NaN,NaN,NaN
"mean relative increase on significantly isolated area",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.288920837578985,0.0969834280129036,NaN,NaN,NaN,NaN,NaN
"isolated area (km2)",0,0,0,0,0,0,0,0,0,0,47572,34094,54457,64917,0,41928,25471,35420,71582,49241,87719,38947,21228,34920,54970,69312,97881,0,75593,96483,34762,48972,33530,36063,4406,0,36063,40702,44995,49685,3129,3129,41108,0,44465,100854,91766
"percent isolated area",0,0,0,0,0,0,0,0,0,0,0.345172361251188,0.247378846474775,0.395128463731942,0.471024009403502,0,0.304220692057089,0.184812183919722,0.257000021767365,0.519383838457129,0.357282271932434,0.636470494336857,0.282591187119525,0.154025874141096,0.253372127614805,0.398850683132469,0.502913199004506,0.710203815093491,0,0.548486805348967,0.700060223042932,0.252225713062596,0.355330464878357,0.243286581870687,0.261665493647557,0.0319690032723605,0,0.261665493647557,0.295325095595011,0.326474194788893,0.360503841939908,0.0227033616067218,0.0227033616067218,0.29827094564689,0,0.322628626987179,0.731775273724614,0.66583466960768
"mean increase on isolated area",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0133125759687442,4.3967112313825,29.0720493667645,51.0937871046781,NaN,111.105681469518,4.39307232730532,3.78033413008868,39.8636735572832,3.94428878574757,67.3742584077372,57.2399372622221,7.54727713766236,60.322505153662,5.71197286543155,3.28197468059833,18.3888473024939,NaN,6.29832200290729,2.9121098511309,10.0638105380051,2.80869361403014,2.09673504649079,10.6269859240615,126.544890994368,NaN,17.3454497160756,20.9549625649256,7.30647128716778,7.94292840333336,10454.962872389,2977.23023093244,4.30304058519883,NaN,0.631432596007219,0.103289812258901,0.0901698960200244
"max increase",0,0,0,0,0,0,0,0,0,0,0.383523046075197,53.2200063393568,726.005055967839,994.499863871073,0,1866.09607472013,178.84579535194,62.6454340761863,1055.61511573217,68.1911186486827,1966.67635312197,1069.07907759451,243.317968840049,1758.41805859089,95.904681159143,43.9630275666813,327.736347482468,0.0959442503916392,152.373459549909,34.5738911712796,264.27216690169,32.4775430206632,75.9842922681804,297.41783080298,890.605050042408,0,391.548522209784,399.741477399601,107.577587992271,87.2320838959925,11002.9502712672,5720.94577520377,52.7339257179057,0,19.1767268973967,2.7852222716446,1.92909176193254
