"chunk","removed","sign.area","mean.sign","area","mean","max.incr","max.decr","mean.rel"
"0",0,0,NA,0,NA,0,0,NA
"1",0,0,NA,0,NA,0,0,NA
"2",120,0,NA,38609,0.0441219430262727,0.956272148454104,-0.130642173264732,NA
"3",35,0,NA,33554,14.3300768116096,169.006942478944,-96.6782225568788,NA
"4",128,0,NA,54439,75.6669429296245,1810.89859266931,-205.004026298762,NA
"5",148,0,NA,60095,143.112350869643,2480.5788049592,-152.583986324732,NA
"6",31,0,NA,0,NA,0,-0.989058904931881,NA
"7",481,0,NA,42271,280.064532093857,4653.41613574885,-321.125529437947,NA
"8",108,0,NA,86509,19.5834933536086,338.452403921178,-105.201068604936,NA
"9",17,0,NA,22843,10.5161838964926,314.55514562449,-18.8201611028217,NA
"10",23,0,NA,35447,9.48107683642634,156.258592346917,-22.6551836621384,NA
"11",204,0,NA,73520,100.488567654115,2659.89392249777,-336.883052630744,NA
"12",28,0,NA,58593,9.63246381683611,193.41066207577,-27.3360259296633,NA
"13",299,0,NA,91090,159.811897403383,4058.54416323967,-330.075833821251,NA
"14",512,0,NA,40023,145.301099840805,2666.50429268017,-544.526085572759,NA
"15",23,0,NA,22843,19.4832782217626,606.916112312642,-22.6940218680475,NA
"16",441,0,NA,35754,151.667854421377,4385.98856655916,-368.432674630947,NA
"17",173,0,NA,60401,52.5063794217043,691.13110662107,-232.232193072535,NA
"18",219,0,NA,100962,48.8033081379697,927.242402119605,-214.132882983216,NA
"19",81,0,NA,0,NA,0.191890053932042,-63.5598587081295,NA
"20",65,0,NA,71647,16.6336774450123,359.40391932163,-64.4705253706616,NA
"21",26,0,NA,99878,7.32586228792576,86.22670962937,-44.9019836366094,NA
"22",98,0,NA,34859,25.9828803276316,672.59688012265,-135.631300488707,NA
"23",18,0,NA,50802,6.28934026537506,70.1674313328413,-18.6622011883064,NA
"24",17,0,NA,33383,5.28097882959168,189.530150527219,-21.2886452643288,NA
"25",987,0,NA,3789,319.148507676103,2221.28595894235,-1322.20242968872,NA
"26",26,0,NA,0,NA,0,-511.614139273479,NA
"27",336,0,NA,35953,130.502631687116,2164.5025920237,-369.4057523414,NA
"28",128,0,NA,39569,55.9080561775035,997.08847870978,-122.171603748422,NA
"29",95,0,NA,37480,54.8341702093828,1384.43262564428,-172.172945987351,NA
"30",121,0,NA,40955,38.3794393149342,744.234114503346,-119.171508773238,NA
"31",55,511,26779.0354412769,511,26779.0354412769,27445.0252664928,-54.7108665223413,0.41878290422703
"32",6,0,NA,1033,1027.16328977564,2058.96282272321,-3.9789193074339,NA
"33",0,0,NA,0,NA,0,0,NA
"34",1,0,NA,96331,0.222461694942442,4.81179782170591,-1.19455990660936,NA
"35",1,0,NA,105124,0.252932739032147,6.94727266174226,-3.31087361692994,NA
"all","5061","11135","34808.68","72078","9489.884","166691","-25296.17","0.6077308"

