               (Intercept)  z            r.squared  p.value
m2_08_precip   -0.00910     0.00041862   0.079067   3.3e-93
m2_anntmax     0.00787      -0.00042307  0.027289   1.7e-32
dem_30         -0.00576     0.00000323   0.026517   1.3e-31
m2_ann_precip  -0.00677     0.00002500   0.021890   2.5e-26
lon_gcs_30     0.19821      0.00174175   0.016198   7.6e-20
northness_30   -0.00263     -0.00184995  0.015806   2.1e-19
m2_anntmean    0.00380      -0.00036416  0.015632   3.4e-19
aspect_30      -0.00397     0.00000744   0.007679   3.7e-10
imperv_30      -0.00270     -0.00029584  0.006447   9.5e-09
m2_anntmin     -0.00036     -0.00022339  0.004768   8.1e-07
shrub_30       -0.00481     0.00215292   0.003055   7.9e-05
agp_250        0.02143      -0.00023619  0.002983   9.6e-05
barren_30      -0.00270     -0.00220910  0.002886   1.3e-04
slope_30       -0.00319     0.00007763   0.002792   1.6e-04
grass_herb_30  -0.00291     0.02983845   0.002288   6.4e-04
bd_ss2_st_30   -0.00917     0.00408624   0.002268   8.3e-04
pr_ss2_st      -0.00293     0.00010077   0.001999   1.4e-03
bdrock_ss2_st  -0.00348     0.00000402   0.001979   1.5e-03
road_30        -0.00258     -0.00000031  0.001474   6.1e-03
win_precip     -0.00350     0.00000502   0.001436   6.8e-03
surfarea_30    -0.00941     0.00000829   0.000750   5.1e-02
lat_gcs_30     0.00403      -0.00019537  0.000668   6.5e-02
avg_rough_30   -0.00755     0.00461600   0.000335   1.9e-01
eastness_30    -0.00284     -0.00009411  0.000073   5.4e-01
