"etort1","etort2","DISTANCE","pi","npi"
"etort-1","etort-2",330.9413652,0.208372,0.25946425925566
"etort-1","etort-3",309.2025905,0.207091,0.249133594534735
"etort-1","etort-4",311.6724463,0.209987,0.250326481094093
"etort-1","etort-5",273.1597101,0.211321,0.249035073836407
"etort-1","etort-6",266.7051227,0.214666,0.249612033620043
"etort-1","etort-7",249.2133027,0.210256,0.249021508515058
"etort-1","etort-8",229.5632422,0.208512,0.245884092254606
"etort-1","etort-9",352.7350519,0.210942,0.257565374157892
"etort-1","etort-10",253.0257783,0.199766,0.255597279676301
"etort-1","etort-11",214.4803861,0.201863,0.245143486484488
"etort-1","etort-12",180.8824065,0.204214,0.241705181183447
"etort-1","etort-13",358.396161,0.209001,0.256835414740598
"etort-1","etort-14",375.431245,0.212439,0.260929808463504
"etort-1","etort-15",210.0999117,0.202973,0.256929328539749
"etort-1","etort-16",245.3330474,0.212045,0.243794471455911
"etort-1","etort-17",241.3038105,0.202106,0.267525829060729
"etort-1","etort-18",232.1709941,0.206189,0.252803238859254
"etort-1","etort-19",337.5631024,0.209736,0.252160232518765
"etort-1","etort-20",334.8047252,0.210317,0.252562201890269
"etort-1","etort-21",226.0782937,0.199562,0.25208462873558
"etort-1","etort-22",240.4560518,0.199443,0.252385857140335
"etort-1","etort-23",210.3213649,0.205025,0.244562157486327
"etort-1","etort-24",185.8382461,0.201406,0.247850149271848
"etort-1","etort-25",198.7527688,0.207605,0.24862190075095
"etort-1","etort-26",369.0527615,0.21113,0.259257240947745
"etort-1","etort-27",204.109611,0.203964,0.257605676548206
"etort-1","etort-28",194.5910842,0.204972,0.259858937149496
"etort-1","etort-30",231.4802102,0.208087,0.2473392278938
"etort-1","etort-31",225.030853,0.204159,0.261381188419071
"etort-1","etort-32",244.0275488,0.210405,0.248374022787056
"etort-1","etort-33",288.8539475,0.212479,0.250407739701778
"etort-1","etort-34",342.2048721,0.212664,0.255954276075873
"etort-1","etort-35",222.6855735,0.209585,0.245947848925361
"etort-1","etort-36",108.0709598,0.19953,0.245392560874288
"etort-1","etort-37",27.73755579,0.197484,0.256039288553515
"etort-1","etort-38",170.6687108,0.203259,0.252231911832297
"etort-1","etort-39",342.1086338,0.213427,0.256566404929098
"etort-1","etort-40",317.3320002,0.211726,0.251001157906873
"etort-1","etort-41",278.6451332,0.216055,0.250013696490132
"etort-1","etort-42",265.7247485,0.208218,0.247302097323333
"etort-1","etort-43",257.11701,0.212437,0.247154656607946
"etort-1","etort-44",255.8082959,0.2112,0.24598964686276
"etort-1","etort-45",271.7907102,0.209626,0.246298292420308
"etort-1","etort-46",218.6194999,0.202762,0.242629515471638
"etort-1","etort-47",219.1349688,0.201122,0.24013881938422
"etort-1","etort-48",216.8613405,0.198382,0.241906265819988
"etort-1","etort-49",229.7705955,0.203025,0.241289791306092
"etort-1","etort-50",232.2594487,0.197374,0.241568822272194
"etort-1","etort-51",234.1476454,0.208728,0.241509109779723
"etort-1","etort-52",255.9762792,0.212987,0.24620120655823
"etort-1","etort-53",218.3626816,0.205227,0.256161719327921
"etort-1","etort-54",251.4582685,0.208175,0.245555743851448
"etort-1","etort-55",216.9771224,0.204541,0.243523501528227
"etort-1","etort-56",176.3280122,0.20094,0.240838084955706
"etort-1","etort-57",385.60855,0.209816,0.258786250108178
"etort-1","etort-58",148.3411477,0.202793,0.268396464620088
"etort-1","etort-59",207.0042873,0.203853,0.246727951337022
"etort-1","etort-60",264.40884,0.206145,0.254258406049733
"etort-1","etort-61",370.6833086,0.215153,0.258815577056279
"etort-1","etort-62",195.3827564,0.20487,0.249346467030163
"etort-1","etort-63",331.260309,0.21186,0.251821314734782
"etort-1","etort-64",324.201882,0.209979,0.253309743396867
"etort-1","etort-65",355.6445299,0.210108,0.256611766558304
"etort-1","etort-66",319.6868353,0.205933,0.252539645826056
"etort-1","etort-67",326.9534003,0.211176,0.254515971265504
"etort-1","etort-68",318.226951,0.204195,0.252423425207123
"etort-1","etort-69",247.4113298,0.207043,0.248616894322772
"etort-1","etort-70",229.0450429,0.203584,0.239545808845485
"etort-1","etort-71",379.0841791,0.210784,0.258657642344797
"etort-1","etort-72",394.6646846,0.209907,0.262799130385378
"etort-1","etort-73",332.8723985,0.212037,0.255091140693274
"etort-1","etort-74",241.1184235,0.20947,0.248912569281178
"etort-1","etort-75",226.7798097,0.205603,0.239688924605561
"etort-1","etort-76",228.1000811,0.206288,0.241989147451472
"etort-1","etort-77",265.7663121,0.211019,0.24747496550177
"etort-1","etort-78",98.75391496,0.197518,0.249298010900649
"etort-1","etort-79",147.6956344,0.202578,0.245120730175643
"etort-1","etort-80",135.8649123,0.200154,0.244529200706172
"etort-1","etort-81",210.1390002,0.203974,0.242371684222956
"etort-1","etort-82",212.2732561,0.205433,0.242791891752634
"etort-1","etort-83",211.7053807,0.205554,0.242554608694682
"etort-1","etort-84",214.272487,0.204862,0.241931939745129
"etort-1","etort-85",212.882533,0.203842,0.240330793360146
"etort-1","etort-86",164.9080981,0.202036,0.262192673530042
"etort-1","etort-87",144.0474178,0.201626,0.246602864428915
"etort-1","etort-88",228.370397,0.204779,0.241269168390488
"etort-1","etort-89",213.0033259,0.206376,0.241990934322428
"etort-1","etort-90",211.242271,0.209163,0.243391186066617
"etort-1","etort-91",230.5116842,0.206642,0.240702422913097
"etort-1","etort-92",196.9568867,0.205097,0.24139694642659
"etort-1","etort-93",128.5642518,0.201506,0.246783482403915
"etort-1","etort-94",174.426865,0.201347,0.239402168631649
"etort-1","etort-95",168.5206357,0.202623,0.245645750590301
"etort-1","etort-96",274.5787884,0.211593,0.247307181119774
"etort-1","etort-97",331.4571657,0.208752,0.254651829646725
"etort-1","etort-98",310.076622,0.215632,0.253236721670858
