subdir  beta                gamma1  gamma2  gamma3  gamma4  gamma5  gamma6  delta1  delta2  delta3  delta4  delta5  delta6
512x    3.814697265625e-06  .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001
256x    1.525878906250e-05  .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001
128x    6.103515625000e-05  .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001
64x     2.441406250000e-04  .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001
32x     9.765625000000e-04  .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001
16x     3.906250000000e-03  .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001
8x      1.562500000000e-02  .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001
4x      6.250000000000e-02  .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001
2x      2.500000000000e-01  .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001
1x      1.000000000000e+00  .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001
