"id" "minor" "coverage" "error"
"etort-1" 6 42993 0.000139557602400391
"etort-3" 8 35764 0.000223688625433397
"etort-4" 7 46739 0.000149767859817283
"etort-5" 7 28155 0.000248623690285917
"etort-6" 22 136681 0.000160958728718695
"etort-7" 8 39990 0.000200050012503126
"etort-8" 5 44077 0.000113437847403408
"etort-9" 4 30059 0.000133071625802588
"etort-10" 2 38767 0.0000515902700750638
"etort-11" 8 67206 0.000119036990744874
"etort-12" 11 38722 0.000284076235731625
"etort-14" 6 37457 0.000160183677283285
"etort-15" 5 37069 0.000134883595457121
"etort-16" 22 153284 0.000143524438297539
"etort-17" 7 31037 0.00022553726197764
"etort-18" 8 36252 0.00022067747986318
"etort-19" 11 38805 0.000283468625177168
"etort-20" 8 54821 0.000145929479578993
"etort-21" 8 39447 0.000202803762009785
"etort-22" 2 27931 0.0000716050266728724
"etort-23" 16 63851 0.000250583389453572
"etort-25" 9 65661 0.000137067665737652
"etort-27" 20 82400 0.000242718446601942
"etort-28" 19 72480 0.000262141280353201
"etort-30" 9 47688 0.000188726723704076
"etort-31" 12 41204 0.000291233860790215
"etort-32" 11 38564 0.000285240120319469
"etort-34" 19 51537 0.000368667171158585
"etort-35" 15 61903 0.000242314588953686
"etort-36" 5 34260 0.000145942790426153
"etort-37" 8 49451 0.000161776303815899
"etort-38" 7 36704 0.000190714908456844
"etort-39" 7 56877 0.000123072595249398
"etort-40" 9 48223 0.00018663293449184
"etort-41" 15 76302 0.000196587245419517
"etort-43" 17 51408 0.000330687830687831
"etort-44" 8 26625 0.000300469483568075
"etort-47" 3 29275 0.000102476515798463
"etort-49" 8 38910 0.000205602672834747
"etort-51" 16 92117 0.000173692152371441
"etort-53" 4 34820 0.000114876507754164
"etort-55" 4 32909 0.000121547297091981
"etort-58" 13 55263 0.000235238767348859
"etort-60 (sheared2)" 5 38605 0.000129516901955705
"etort-61" 10 82371 0.000121401949715312
"etort-62" 12 58604 0.000204764179919459
"etort-63" 11 53745 0.000204670201879245
"etort-64" 19 92595 0.000205194664938712
"etort-65" 11 32592 0.000337506136475209
"etort-66" 7 29473 0.00023750551352085
"etort-67" 8 80239 0.0000997021398571767
"etort-69" 4 52901 0.0000756129373735846
"etort-73" 11 47360 0.000232263513513514
"etort-74" 12 76110 0.000157666535277887
"etort-75" 11 42232 0.000260465997347983
"etort-76" 14 49272 0.000284137035232992
"etort-77" 10 39046 0.000256108180095272
"etort-79" 10 43797 0.00022832614105989
"etort-80" 8 37498 0.000213344711717958
"etort-82" 9 46990 0.000191530112789955
"etort-83" 24 48810 0.000491702519975415
"etort-84" 4 37581 0.000106436763258029
"etort-86" 8 40462 0.000197716375858831
"etort-87" 6 31608 0.000189825360668185
"etort-88" 12 34552 0.000347302616346376
"etort-89" 13 42007 0.000309472230818673
"etort-90" 18 80869 0.000222582200843339
"etort-91" 15 67368 0.00022265764161026
"etort-92" 7 33393 0.000209624771658731
"etort-93" 10 41322 0.000242001839213978
"etort-94" 12 43085 0.000278519206220262
"etort-96" 13 33518 0.000387851303777075
"etort-98" 15 40613 0.000369339866545195
"etort-99" 8 41276 0.000193817230351778
"etort-100" 13 38777 0.000335250277226191
"etort-104" 23 46164 0.000498223724114028
"etort-110" 44 91498 0.000480884828083674
"etort-111" 11 44012 0.00024993183677179
"etort-112" 22 45854 0.000479783661185502
"etort-113" 15 40481 0.000370544205923767
"etort-115" 13 39321 0.000330612141095089
"etort-119" 19 38454 0.000494096842981224
"etort-120" 33 38960 0.000847022587268994
"etort-121" 10 47841 0.000209025731067494
"etort-122" 15 80713 0.000185843668306221
"etort-123" 2 42224 0.0000473664266767715
"etort-124" 15 39828 0.000376619463693884
"etort-125" 22 129760 0.000169543773119605
"etort-126" 20 80362 0.00024887384584754
"etort-127" 23 86444 0.000266068206006201
"etort-128" 10 40768 0.000245290423861852
"etort-129" 9 52420 0.000171690194582221
"etort-130" 9 35641 0.000252518167279257
