"geolayers/TIFF/masked/crop_masked_avg_rough_30" "agp_250" "alley_30" "annual_precip" "aspect_30" "barren_30" "bdrock_ss2_st" "bd_ss2_30" "bd_ss2_st_30" "bedrock_ss2" "bike_pat_30" "dem_30" "eastness_30" "grass_herb_30" "imperv_30" "lat_gcs_30" "local_ro_30" "lon_gcs_30" "m2_01_precip" "m2_01tmin" "m2_02_precip" "m2_02tmax" "m2_02tmean" "m2_02tmin" "m2_03_precip" "m2_03tmax" "m2_03tmean" "m2_03tmin" "m2_04_precip" "m2_04tmax" "m2_04tmean" "m2_04tmin" "m2_05_precip" "m2_05tmax" "m2_05tmean" "m2_05tmin" "m2_06_precip" "m2_06tmax" "m2_06tmean" "m2_06tmin" "m2_07_precip" "m2_07tmax" "m2_07tmean" "m2_07tmin" "m2_08_precip" "m2_08tmax" "m2_08tmean" "m2_08tmin" "m2_09_precip" "m2_09tmax" "m2_09tmean" "m2_09tmin" "m2_10_precip" "m2_10tmax" "m2_10tmean" "m2_10tmin" "m2_11_precip" "m2_11tmax" "m2_11tmean" "m2_11tmin" "m2_12_precip" "m2_12tmax" "m2_12tmean" "m2_12tmin" "m2_ann_precip" "m2_anntmax" "m2_anntmean" "m2_anntmin" "nlcd_30" "northness_30" "parking_30" "pedestri_30" "primary_30" "private_30" "pr_ss2" "pr_ss2_st" "ramps_30" "road_30" "secondar_30" "service_30" "shrub_30" "slope_30" "summer_precip" "surfarea_30" "tree_30" "tree_err_30" "vehicula_30" "win_precip"
"etort-1" 1.00071346759796 102.657007519703 0 151.799969908409 86.5343930061889 0 56 1.49000000953674 1.49000000953674 56 0 1145.62276333327 0.983517456674977 0 0 36.9310816543876 0 -116.787944937888 15.4829463018636 -1.84060032570097 28.5082632219119 14.3840518217013 7.04606392637865 -0.3007902713864 21.8446620272218 18.3746578775802 10.2778037813757 2.1720836929449 11.5494570104088 22.3493195185215 13.6986978799595 5.03920981702635 4.16450432286305 27.9911543540933 18.9015107693616 9.81020305150512 7.52169235487621 33.3740991218875 23.9417022615369 14.508170490847 8.54887483300268 36.5126450987404 27.212629443351 17.9043514744463 7.77483911610753 35.8449174663226 26.3816375320413 16.9100224118689 8.2947501602091 31.6846326665948 22.4154291388556 13.1445597226174 7.62040695691096 24.9362264972009 16.1970274043319 7.45775464314519 11.4742024587678 17.2673521119716 9.23291291500985 1.19786770449879 13.4433444985494 12.1539790046559 4.92585593243753 -2.31173465014234 146.22794733428 23.9266856417678 15.453478709237 6.97034382551924 52 0.0591351530755602 0 0 0 0 0 0 0 143.317757280967 0 0 1 1.94602376306693 NA 763.65998532753 0 0 0 139.72638791625
"etort-2" 1.08342301845551 110.203096108128 0 462.579105424866 346.860474827846 0 201 NA 1.53999996185303 201 0 721.927424733391 -0.227034036630671 0 0 33.9485474153763 0 -116.667604483134 60.7858762980215 6.81595266725078 68.5357753291592 17.919804595051 12.4492149714125 6.97327679583172 47.7930416992517 20.5214435016763 14.1015999270146 7.67310532549481 12.3082767451142 23.3289251036007 16.1135599563453 8.88819513190651 4.51195499516625 28.1508436971099 19.7605521830071 11.3602611595616 0.660798828304026 32.6985771832642 23.7023317967156 14.6982844852508 3.37699247702952 35.7247391017317 27.2556843012775 18.7790846704105 6.71718363304834 35.6770063290419 27.4045035565831 19.1258056615508 6.02514857730103 32.6128279920618 25.2833886906598 17.9514946672421 12.3027319902222 27.5273562134857 20.564319108707 13.5952799910186 20.1915032367591 21.4244222038689 15.4942633626847 9.56410441740911 42.5049654156418 17.3507540440184 12.0176262527858 6.67915101775706 285.7142501979 25.8807980031865 18.8639710252761 11.8446884354249 52 0.972625518564926 0 0 0 0 NA 0 0 159.609546517266 0 0 1 23.8729115922941 NA 870.649995636906 1.37928479603458 3.2537925080951 0 303.77463537415
"etort-3" 1.00099277496338 104.200750251221 0 116.49281991641 60.9293344377453 1 201 NA 1.63999998569489 201 0 557.244995705199 0.873245818420827 0 0 34.2274723527115 0 -115.955146273948 12.460345810114 3.5041935338931 12.9047034176147 19.5234915453604 12.2666729241635 5.00073680624682 9.24518438200758 23.1735462696951 15.3286760102135 7.48193020550018 2.45247971129686 27.5922237940208 19.0794669451991 10.5591355105552 1.85386019846391 31.9346322984529 23.640403274921 15.3378829757017 0.170000001788139 36.9910486456777 28.2578102068787 19.5169998764743 8.74426347496517 40.3339333247457 31.698417740667 23.053067823803 15.7082881309726 38.8401645218079 30.758527434814 22.6687650277272 7.08025597077764 35.2071695511462 27.0481245719465 18.8816719634837 3.6885656355492 28.603347411242 20.6645601583102 12.7181996429302 4.05089497447936 22.0259725671742 14.4426289831815 6.85099472924239 11.4001695129448 17.0124431484885 10.0462141960955 3.07827426625514 89.7590109719891 28.2193384914538 20.3024264682774 12.3846320206237 31 0.485482415467339 0 0 0 0 NA 0 0 2012.43132872622 0 0 0 2.14696062093691 NA 789.403991833477 0 0 0 119.272486458038
"etort-4" 1.00341820716858 105.121426247857 0 151.316232404775 28.4736493794854 1 201 NA 1.37000000476837 201 0 559.76422882671 0.47522407368691 0 0 34.2655242970524 0 -115.697454498601 14.2451342007644 4.06871937918608 15.4334339757968 19.3026686346283 12.4207437694054 5.53881923287663 11.3354263457233 22.8869364349469 15.4431374762324 7.99761517643837 2.69617729893676 27.1826599510533 19.1523713659371 11.1215917827902 1.9100054854787 32.1458575485288 23.8308601336544 15.5075896026725 0.26778708553966 37.1065988141824 28.5343087469455 19.9598059433773 8.95769653301647 39.9137306493472 31.7813896859777 23.6468330983626 16.901913489514 39.0047138720912 31.1896639529319 23.3741234258412 7.61027021782361 35.5854445471613 27.5801523122733 19.572643795467 4.81185788790326 28.9930696954976 21.1949164579367 13.3933140966504 5.02449165921291 22.2042857660841 14.8872034050226 7.56790738915541 13.7560161444646 16.8091205549448 10.2394118046154 3.66142559617684 102.950210506563 28.2103631052272 20.5834324714482 12.9487140485485 31 0.876188302674192 0 0 0 0 NA 0 0 742.219039103116 0 0 0 4.3197041080995 NA 790.823182618471 0 0.115938120000432 0 142.864574196162
"etort-5" 1.00036978721619 102.530832606132 0 201.326505573762 129.270829968981 0 201 NA 1.61000001430511 201 0 554.722248058944 0.774101705848445 0 0 34.6353418612589 0 -115.692297357651 14.5798193473239 3.35523550028664 24.7445611689492 19.0684448889532 12.0077699618646 4.94333846964635 14.0010356284735 22.6938727314841 15.1246363263636 7.55164281182831 4.58092404851601 26.9876065103468 18.9366412237523 10.8842607013957 3.46784190430436 32.2376055196423 23.9938122487743 15.7500175288797 0.0931101726949713 37.3052875354786 28.7155305661198 20.1243593539237 3.648482427437 40.289021632242 32.1309833207573 23.9643595065115 15.6816294593215 39.3921309405346 31.4140932084574 23.4343601295566 11.6110044145276 35.7304350458117 27.5380554058183 19.3356753859664 5.27406775321715 28.9729459853998 20.9933056094428 13.0053610845048 4.73382183323015 21.7984444311896 14.3202567229527 6.83582574294797 13.9950795554173 16.3353115022305 9.60542760157422 2.86867790474434 116.411378498447 28.1452880114927 20.413053248 12.6739519441715 52 -0.632937377141806 0 0 0 0 NA 0 0 1873.07364701387 0 0 1 1.35233066689518 NA 785.135667659842 0 0 0 151.152303435835
"etort-6" 1.00237953662872 104.059049983779 0 262.179348844647 201.991841798273 0 27 1.57000005245209 1.57000005245209 27 0 898.343061544198 -0.374257318389368 0 0 35.1861537667927 0 -114.748861688705 30.2573369626421 4.02722579086967 27.6301659320949 15.7086219705178 10.5802709890763 5.4419200192478 22.6675558533204 19.7634900480603 13.8308815763072 7.89566363187501 7.17930150928551 23.9134915406407 17.478971330664 11.0442767855812 4.1966055261817 29.8261005083044 22.9140152924175 15.9945382630454 1.87504354109864 34.9836639453403 28.0591458382957 21.1272347485706 17.0430378630552 37.7464493214077 31.1541896474612 24.5617549585473 15.8890405309346 36.8513177968615 30.376274362589 23.8936657001011 10.8865183200924 33.2382732238435 26.6565370995138 20.074800975184 11.6246943742856 26.3430542172805 20.2014931776355 14.0599312009654 11.6390396512157 18.5560129995658 13.203229146089 7.8404454494563 19.4851220061498 13.2460128121192 8.46009651959166 3.66435452614152 180.373468477474 25.3310570806086 19.3186223486992 13.3035786954099 52 -0.926687941770698 0 0 0 0 0 0 0 1331.13368009791 0 0 1 3.72424148359468 NA 781.562521697478 0.933802251333241 2 0 173.642132336939
"etort-7" 1.00065994262695 105.155335405921 0 49.9957341466683 7.8138793548371 0 46 1.55999994277954 1.55999994277954 46 0 451.529921464604 0.134214382685513 0 0 35.4184135124775 0 -114.737020868393 25.3158386905344 5.1769768737867 26.8969617883143 19.0277799634141 12.9403119397292 6.84770956015899 20.9225150025836 23.2110840097146 16.2920814352128 9.36417804445326 6.13051520385215 27.6093143058222 20.3229145335591 13.0269794867664 3.31833892758362 33.5702822643432 25.9828148066674 18.3902127482676 1.54122726520769 38.6801145376805 31.0184815698451 23.3517153049922 8.80969276789346 41.5152086912292 34.1885133670072 26.8522810798104 11.9784828868781 40.6337145874511 33.5143487469712 26.3907486209066 9.33961360155965 36.7699866741327 29.3202831039 21.8612127773114 11.6916634006573 29.3878207173246 22.3685815765342 15.3442094566039 10.9945818053216 21.63294336955 15.3414096134875 9.04410953593336 16.5586942475889 16.0910832148111 10.4567804018586 4.81870797748476 153.498126720017 28.7438826764577 21.8964148691272 15.0400445221652 52 0.982953422189548 0 0 0 0 3 3 0 372.369095844793 0 0 1 1.14946181553905 NA 777.961519301275 0 0.884061879992377 0 62.8483439094832
"etort-8" 1.00069856643677 102.382937671458 0 209.559472311849 92.7797241934864 0 42 1.60000002384186 1.60000002384186 42 0 1186.66754162023 0.994290011703001 0 0 35.4198901394355 0 -115.042150873276 26.0874226128203 1.47252010799977 32.9821945898173 13.8275162048407 8.25796825579727 2.67932435016671 28.9564297391883 17.5927294478821 11.1792981182803 4.76425537924442 8.99743619511605 21.4387423363666 14.6162380683925 7.78534574437588 4.62480062158094 27.008033762273 19.8748110382635 12.7390725819399 1.95555387107162 32.4121609503451 24.9708690594393 17.5211882907066 24.4332410067068 35.5632689312109 28.3571307847325 21.1509934252667 18.8031077253951 34.5151980619133 27.495678835686 20.4736437856367 12.7035062139276 30.7383980935073 23.7739634011417 16.8004299381349 14.0171522937172 23.9758834924603 17.5169190171424 11.0554407298274 13.054494484363 16.433973580386 10.6601394771446 4.88395099777586 24.7232199307065 11.467856695021 6.30505171924387 1.14063488136511 211.338559651259 23.082180594029 16.6496182628827 10.207055537194 52 -0.0484125554083973 0 0 0 0 0 0 0 1669.78033949375 0 0 1 1.94095541139996 NA 778.215676072206 0 0 0 156.863166990225
"etort-9" 1.00015616416931 104.225044680067 0 122.34607951054 64.7185088519704 0 201 NA 1.37000000476837 201 0 382.87699833024 0.903621364136581 0 0 34.2745611499979 0 -114.645040887924 20.0611693304566 4.57905521044142 23.5772350567626 20.307439057511 13.303247687259 6.28905524858839 16.6737123844312 24.2763274657661 16.543675338991 8.80102213578333 4.15942822613183 28.7358996560025 20.6421341878621 12.5387963554258 2.2122188167008 34.1262419066471 25.8924771142647 17.649138971209 0.550000011920929 39.1747016652984 30.7890560881252 22.3937499157321 7.21333838571906 41.615816544037 34.1401674561286 26.6548628916554 16.0683691614575 40.75701284478 33.2475254507231 25.7376074945734 11.6150390577156 37.5466707684982 29.5229050605884 21.4894820501995 7.51950938006773 30.8547876173814 22.7017085200761 14.5482855914249 8.62311804782745 23.137438981217 15.6428208802042 8.13862867041539 14.3911211925145 17.4666690842842 10.7524776838992 4.02862852872518 132.664257091518 29.6866702395808 22.0524769616768 14.4087122077448 52 0.426778245794956 0 0 0 0 NA 0 0 208.747306176883 0 0 1 0.801845981126617 NA 788.300350122029 0 0.933802251333006 0 93.6378392304884
"etort-10" 1.00459706783295 107.982680592599 0 422.232045032324 166.644598224638 0 201 NA 1.55999994277954 201 0 1117.04060293566 0.228771748024993 0 0 34.7345882343539 0 -117.545290030009 48.6139385372897 1.02761230142747 59.3388918177208 15.6667967976066 9.04068494219787 2.40872122729651 36.803782687268 18.5623765554316 11.1072895961785 3.64648576015277 11.0152051954431 21.7131998188942 13.64430745971 5.57126768542281 3.90611026341056 26.8186078277849 17.954816870467 9.08507709271186 1.68090564642706 32.1979011023425 22.3353095192046 12.462853698302 3.90402928630692 35.4797970407541 25.8460561344661 16.202316084126 6.25991423012613 35.2130111956834 25.610713822062 15.998512445022 5.46605536779669 31.3603736385453 22.5782173268844 13.7958295531447 13.524540645374 25.0807579530745 16.9682562657554 8.84980791799111 14.4811736871113 18.4248501955183 11.3032658028017 4.17753308637943 36.912673768702 13.8141993385796 7.52659962144682 1.22913541211602 241.907223881701 24.0503735349981 15.9637187536684 7.87121180296107 52 -0.962534862553391 0 0 0 0 NA 0 0 96.3854949269985 0 0 1 5.44037534917942 NA 788.415358409397 0 1 0 338.256653484397
"etort-11" 1.00000953674316 105.476271716412 0 163.343482196089 -1 0 201 NA 1.61000001430511 201 0 546.136158827353 -0.0174524057656527 0 0 34.9980145337708 0.386105290204207 -116.729028738505 14.6229603677803 1.78655522058396 18.8283748444552 18.7041122234212 11.3716030712984 4.0311928768348 10.6402901683551 22.2873924053031 14.6848030973603 7.08119283419458 4.11094561847986 26.64656507511 18.4519569097656 10.2522708020315 1.61263476823087 32.086565208765 23.5172335306355 14.9399995803833 1.06728934032348 37.4504097725542 28.2654881547348 19.076720716477 6.25410212787878 40.6404102555432 31.6516428576465 22.6528766867454 5.96799057655699 40.0104095985512 31.0716429339405 22.1267206868366 4.57839044147558 35.6865644836913 27.0220997685996 18.3527673085979 3.74053550267686 29.0044663746256 20.5799999237061 12.1544558159588 7.22812260324479 21.2783113135643 13.3989219617025 5.51445619159518 14.1084468596651 15.5272331724926 8.37276681268722 1.21445601370792 92.760081966658 27.969600183315 19.7851346775632 11.5968233110252 52 0.999847710132599 0 0 0 0 NA 0 0 17.5719749749755 0 0 1 0 NA 781.474385804354 0 0 0 156.865947083031
