"","V1","V2","V3","V4","V5"
"avg_rough_30","surfarea_30: 0.96","slope_30: 0.93","m2_03tmax: -0.453","annual_precip: 0.451","tree_err_30: 0.451"
"agp_250","tree_err_30: -0.421","m2_06_precip: -0.385","tree_30: -0.376","m2_05_precip: -0.358","m2_anntmax: 0.351"
"alley_30","local_ro_30: 0.19","imperv_30: 0.188","ramps_30: 0.13","shrub_30: -0.093","nlcd_30: -0.085"
"annual_precip","win_precip: 0.969","m2_06tmean: -0.888","m2_06tmax: -0.875","m2_05tmean: -0.874","m2_07tmean: -0.874"
"aspect_30","eastness_30: -0.592","northness_30: -0.551","annual_precip: 0.415","slope_30: 0.389","m2_03tmax: -0.334"
"barren_30","nlcd_30: -0.455","shrub_30: -0.422","aspect_30: -0.221","bedrock_ss2: 0.205","m2_04tmax: 0.188"
"bd_ss2_30","bd_ss2_st_30: 0.897","m2_07_precip: -0.606","m2_08_precip: -0.595","m2_09_precip: -0.593","lon_gcs_30: -0.506"
"bd_ss2_st_30","bd_ss2_30: 0.897","m2_09_precip: -0.49","m2_08_precip: -0.458","m2_07_precip: -0.45","lon_gcs_30: -0.443"
"bdrock_ss2_st","bedrock_ss2: 0.936","slope_30: -0.511","m2_03tmax: 0.499","m2_02tmax: 0.493","m2_11tmax: 0.487"
"bedrock_ss2","bdrock_ss2_st: 0.936","slope_30: -0.503","m2_10_precip: -0.495","m2_03tmax: 0.482","m2_02tmax: 0.479"
"bike_pat_30","local_ro_30: 0.032","imperv_30: 0.026","private_30: 0.019","shrub_30: -0.018","m2_12tmin: 0.017"
"dem_30","m2_02tmean: -0.978","m2_02tmax: -0.969","m2_03tmean: -0.967","m2_11tmean: -0.963","m2_11tmax: -0.96"
"eastness_30","aspect_30: -0.592","annual_precip: -0.114","northness_30: 0.084","m2_04_precip: -0.067","m2_03_precip: -0.059"
"grass_herb_30","shrub_30: -0.354","nlcd_30: 0.346","win_precip: 0.247","m2_07tmin: -0.246","m2_06tmin: -0.24"
"imperv_30","local_ro_30: 0.764","ramps_30: 0.533","nlcd_30: -0.525","shrub_30: -0.414","secondar_30: 0.304"
"lat_gcs_30","m2_12tmax: -0.764","m2_12tmean: -0.737","m2_11tmax: -0.705","m2_11tmean: -0.692","m2_02tmax: -0.673"
"local_ro_30","imperv_30: 0.764","ramps_30: 0.46","shrub_30: -0.395","nlcd_30: -0.363","secondar_30: 0.348"
"lon_gcs_30","win_precip: -0.752","m2_08_precip: 0.728","m2_07_precip: 0.643","annual_precip: -0.634","m2_09_precip: 0.577"
"m2_01_precip","m2_12_precip: 0.979","m2_02_precip: 0.978","m2_03_precip: 0.975","m2_ann_precip: 0.956","m2_11_precip: 0.946"
"m2_01tmin","m2_12tmin: 0.996","m2_11tmin: 0.988","m2_02tmin: 0.979","m2_12tmean: 0.968","m2_11tmean: 0.945"
"m2_02_precip","m2_01_precip: 0.978","m2_03_precip: 0.97","m2_12_precip: 0.945","m2_ann_precip: 0.937","m2_11_precip: 0.902"
"m2_02tmax","m2_11tmax: 0.997","m2_03tmax: 0.983","m2_02tmean: 0.982","m2_12tmax: 0.979","m2_03tmean: 0.978"
"m2_02tmean","m2_11tmean: 0.996","m2_03tmean: 0.983","m2_02tmax: 0.982","m2_11tmax: 0.979","dem_30: -0.978"
"m2_02tmin","m2_11tmin: 0.988","m2_03tmin: 0.982","m2_01tmin: 0.979","m2_11tmean: 0.976","m2_02tmean: 0.974"
"m2_03_precip","m2_01_precip: 0.975","m2_ann_precip: 0.972","m2_02_precip: 0.97","m2_12_precip: 0.966","m2_11_precip: 0.955"
"m2_03tmax","m2_anntmax: 0.991","m2_10tmax: 0.991","m2_04tmax: 0.986","m2_04tmean: 0.985","m2_03tmean: 0.984"
"m2_03tmean","m2_10tmean: 0.994","m2_anntmean: 0.991","m2_04tmean: 0.989","m2_03tmax: 0.984","m2_02tmean: 0.983"
"m2_03tmin","m2_10tmin: 0.986","m2_04tmin: 0.986","m2_anntmin: 0.984","m2_02tmin: 0.982","m2_03tmean: 0.977"
"m2_04_precip","m2_11_precip: 0.976","m2_ann_precip: 0.969","m2_03_precip: 0.954","m2_12_precip: 0.951","m2_05_precip: 0.936"
"m2_04tmax","m2_anntmax: 0.996","m2_10tmax: 0.99","m2_03tmax: 0.986","m2_04tmean: 0.986","m2_09tmax: 0.986"
"m2_04tmean","m2_anntmean: 0.997","m2_10tmean: 0.989","m2_03tmean: 0.989","m2_09tmean: 0.987","m2_04tmax: 0.986"
