etort1 etort2 DISTANCE
etort-1 etort-2 330941.3652
etort-1 etort-3 309202.5905
etort-1 etort-4 311672.4463
etort-1 etort-5 273159.7101
etort-1 etort-6 266705.1227
etort-1 etort-7 249213.3027
etort-1 etort-8 229563.2422
etort-1 etort-9 352735.0519
etort-1 etort-10 253025.7783
etort-1 etort-11 214480.3861
etort-1 etort-12 180882.4065
etort-1 etort-13 358396.161
etort-1 etort-14 375431.245
etort-1 etort-15 210099.9117
etort-1 etort-16 245333.0474
etort-1 etort-17 241303.8105
etort-1 etort-18 232170.9941
etort-1 etort-19 337563.1024
etort-1 etort-20 334804.7252
etort-1 etort-21 226078.2937
etort-1 etort-22 240456.0518
etort-1 etort-23 210321.3649
etort-1 etort-24 185838.2461
etort-1 etort-25 198752.7688
etort-1 etort-26 369052.7615
etort-1 etort-27 204109.611
etort-1 etort-28 194591.0842
etort-1 etort-30 231480.2102
etort-1 etort-31 225030.853
etort-1 etort-32 244027.5488
etort-1 etort-33 288853.9475
etort-1 etort-34 342204.8721
etort-1 etort-35 222685.5735
etort-1 etort-36 108070.9598
etort-1 etort-37 27737.55579
etort-1 etort-38 170668.7108
etort-1 etort-39 342108.6338
etort-1 etort-40 317332.0002
etort-1 etort-41 278645.1332
etort-1 etort-42 265724.7485
etort-1 etort-43 257117.01
etort-1 etort-44 255808.2959
etort-1 etort-45 271790.7102
etort-1 etort-46 218619.4999
etort-1 etort-47 219134.9688
etort-1 etort-48 216861.3405
etort-1 etort-49 229770.5955
etort-1 etort-50 232259.4487
etort-1 etort-51 234147.6454
etort-1 etort-52 255976.2792
etort-1 etort-53 218362.6816
etort-1 etort-54 251458.2685
etort-1 etort-55 216977.1224
etort-1 etort-56 176328.0122
etort-1 etort-57 385608.55
etort-1 etort-58 148341.1477
etort-1 etort-59 207004.2873
etort-1 etort-60 264408.84
etort-1 etort-61 370683.3086
etort-1 etort-62 195382.7564
etort-1 etort-63 331260.309
etort-1 etort-64 324201.882
etort-1 etort-65 355644.5299
etort-1 etort-66 319686.8353
etort-1 etort-67 326953.4003
etort-1 etort-68 318226.951
etort-1 etort-69 247411.3298
etort-1 etort-70 229045.0429
etort-1 etort-71 379084.1791
etort-1 etort-72 394664.6846
etort-1 etort-73 332872.3985
etort-1 etort-74 241118.4235
etort-1 etort-75 226779.8097
etort-1 etort-76 228100.0811
etort-1 etort-77 265766.3121
etort-1 etort-78 98753.91496
etort-1 etort-79 147695.6344
etort-1 etort-80 135864.9123
etort-1 etort-81 210139.0002
etort-1 etort-82 212273.2561
etort-1 etort-83 211705.3807
etort-1 etort-84 214272.487
etort-1 etort-85 212882.533
etort-1 etort-86 164908.0981
etort-1 etort-87 144047.4178
etort-1 etort-88 228370.397
etort-1 etort-89 213003.3259
etort-1 etort-90 211242.271
etort-1 etort-91 230511.6842
etort-1 etort-92 196956.8867
etort-1 etort-93 128564.2518
etort-1 etort-94 174426.865
etort-1 etort-95 168520.6357
etort-1 etort-96 274578.7884
etort-1 etort-97 331457.1657
etort-1 etort-98 310076.622
etort-1 etort-99 304882.4602
etort-1 etort-100 349828.4765
etort-1 etort-102 322234.0488
etort-1 etort-103 288361.3987
etort-1 etort-104 302712.386
etort-1 etort-105 318355.58
etort-1 etort-106 427885.5808
etort-1 etort-107 430410.139
etort-1 etort-108 447262.0368
etort-1 etort-109 398117.0378
etort-1 etort-110 426096.4505
etort-1 etort-111 414689.9018
etort-1 etort-112 216429.7202
etort-1 etort-113 203068.342
etort-1 etort-115 270279.276
etort-1 etort-116 277145.954
etort-1 etort-117 276780.1955
etort-1 etort-119 244693.2552
etort-1 etort-120 207194.9847
etort-1 etort-121 361550.3797
etort-1 etort-122 362534.2582
etort-1 etort-123 360765.0727
etort-1 etort-124 365924.9353
etort-1 etort-125 358447.4387
etort-1 etort-126 373461.0281
etort-1 etort-127 371559.8794
etort-1 etort-128 370535.3339
etort-1 etort-129 374828.0798
etort-1 etort-130 194342.4031
etort-1 etort-131 189742.7798
etort-1 etort-132 191059.6372
etort-1 etort-133 196988.3477
etort-1 etort-134 195622.7473
etort-1 etort-135 198046.8845
etort-1 etort-136 193553.1376
etort-1 etort-137 199235.5836
etort-1 etort-138 190603.5588
etort-1 etort-139 188709.9269
etort-1 etort-140 194431.2765
etort-1 etort-141 187539.2417
etort-1 etort-142 190803.8456
etort-1 etort-143 196225.0551
etort-1 etort-144 199374.1583
etort-1 etort-145 193534.221
etort-1 etort-146 189012.0835
etort-1 etort-147 191231.5096
etort-1 etort-148 210679.8502
etort-1 etort-149 204140.9742
etort-1 etort-150 189958.994
etort-1 etort-151 211301.5994
etort-1 etort-152 205737.938
etort-1 etort-153 203782.8146
etort-1 etort-154 207504.2213
etort-1 etort-155 203659.2827
etort-1 etort-156 208534.3948
etort-1 etort-157 191066.2845
etort-1 etort-158 189581.4534
etort-1 etort-159 201578.0988
etort-1 etort-161 203703.1635
etort-1 etort-162 201437.402
etort-1 etort-163 192063.5646
etort-1 etort-164 192390.7673
etort-1 etort-166 192247.4687
etort-1 etort-167 193457.7144
etort-1 etort-168 189820.6823
etort-1 etort-169 189689.1585
etort-1 etort-170 196444.4775
etort-1 etort-172 199107.9894
etort-1 etort-173 197397.6896
etort-1 etort-174 194695.1638
etort-1 etort-175 194702.7909
etort-1 etort-176 193812.2382
etort-1 etort-177 195053.5857
etort-1 etort-178 194443.5221
etort-1 etort-179 196642.4302
etort-1 etort-180 192647.5245
etort-1 etort-181 192308.9528
etort-1 etort-182 194952.7486
etort-1 etort-183 195678.9818
etort-1 etort-184 195874.1537
etort-1 etort-185 196839.1759
etort-1 etort-186 191863.9212
etort-1 etort-187 198463.486
etort-2 etort-3 72564.27237
etort-2 etort-4 96048.51298
etort-2 etort-5 117621.442
etort-2 etort-6 223057.9023
etort-2 etort-7 240374.0588
etort-2 etort-8 220787.2613
etort-2 etort-9 189859.7813
etort-2 etort-10 118728.3023
etort-2 etort-11 116483.1675
etort-2 etort-12 194206.79
etort-2 etort-13 88563.3429
etort-2 etort-14 83486.36877
etort-2 etort-15 340519.4314
etort-2 etort-16 116305.0555
etort-2 etort-17 406972.9297
etort-2 etort-18 101100.2376
etort-2 etort-19 98142.09756
etort-2 etort-20 87649.4006
etort-2 etort-21 129176.2867
etort-2 etort-22 113464.9439
etort-2 etort-23 124335.1674
etort-2 etort-24 145910.8437
etort-2 etort-25 132189.7607
etort-2 etort-26 200251.4667
etort-2 etort-27 167675.2404
etort-2 etort-28 183104.0193
etort-2 etort-30 241799.1141
etort-2 etort-31 382453.9113
etort-2 etort-32 229405.7242
etort-2 etort-33 185090.186
etort-2 etort-34 195182.3516
etort-2 etort-35 232078.1365
etort-2 etort-36 241751.9947
etort-2 etort-37 309016.7496
etort-2 etort-38 320403.46
etort-2 etort-39 204053.8845
etort-2 etort-40 194423.9732
etort-2 etort-41 204062.3532
etort-2 etort-42 214236.8395
etort-2 etort-43 157154.4448
etort-2 etort-44 159337.23
etort-2 etort-45 157900.6568
etort-2 etort-46 187098.2718
etort-2 etort-47 188668.0588
etort-2 etort-48 190007.3888
etort-2 etort-49 156242.4242
etort-2 etort-50 156238.6705
etort-2 etort-51 153708.2462
etort-2 etort-52 154387.9291
etort-2 etort-53 325025.4907
etort-2 etort-54 162116.5451
etort-2 etort-55 191315.5479
etort-2 etort-56 199026.2287
etort-2 etort-57 111672.9506
etort-2 etort-58 400566.7756
etort-2 etort-59 255928.7839
etort-2 etort-60 67635.74962
etort-2 etort-61 85428.29155
etort-2 etort-62 282460.6264
etort-2 etort-63 93171.12954
etort-2 etort-64 59582.32383
etort-2 etort-65 86754.3075
etort-2 etort-66 40684.8446
etort-2 etort-67 46445.51446
etort-2 etort-68 50857.31774
etort-2 etort-69 87212.41385
etort-2 etort-70 159009.8534
etort-2 etort-71 108814.8057
etort-2 etort-72 103726.0027
etort-2 etort-73 104766.4652
etort-2 etort-74 91324.26627
etort-2 etort-75 154961.8031
etort-2 etort-76 155313.8136
etort-2 etort-77 121276.16
etort-2 etort-78 297544.5721
etort-2 etort-79 239040.6259
etort-2 etort-80 243115.8089
etort-2 etort-81 198737.5254
etort-2 etort-82 198733.862
etort-2 etort-83 199223.6153
etort-2 etort-84 196985.4156
etort-2 etort-85 196054.1873
etort-2 etort-86 368900.8146
etort-2 etort-87 248288.9626
etort-2 etort-88 166843.3407
etort-2 etort-89 199370.7292
etort-2 etort-90 202380.1784
etort-2 etort-91 163514.1302
etort-2 etort-92 188797.6897
etort-2 etort-93 233658.4062
etort-2 etort-94 204086.576
etort-2 etort-95 250733.1042
etort-2 etort-96 134339.1045
etort-2 etort-97 198675.7231
etort-2 etort-98 166909.8116
etort-2 etort-99 187172.5831
etort-2 etort-100 201320.8189
etort-2 etort-102 169385.2777
etort-2 etort-103 132439.6359
etort-2 etort-104 174947.4842
etort-2 etort-105 186696.1555
etort-2 etort-106 165365.7272
etort-2 etort-107 161450.087
etort-2 etort-108 187091.7494
etort-2 etort-109 125532.9037
etort-2 etort-110 149725.599
etort-2 etort-111 143441.9487
etort-2 etort-112 261412.7564
etort-2 etort-113 244594.6167
etort-2 etort-115 181822.5479
etort-2 etort-116 192667.2942
etort-2 etort-117 210526.5819
etort-2 etort-119 135082.9759
etort-2 etort-120 147571.2316
etort-2 etort-121 112836.6434
etort-2 etort-122 116069.2313
etort-2 etort-123 115603.54
etort-2 etort-124 117228.5758
etort-2 etort-125 115605.1937
etort-2 etort-126 114940.7924
etort-2 etort-127 115181.2502
etort-2 etort-128 114584.6257
etort-2 etort-129 116381.6139
etort-2 etort-130 208597.6433
etort-2 etort-131 218602.0534
etort-2 etort-132 208523.8867
etort-2 etort-133 209743.9619
etort-2 etort-134 206161.5385
etort-2 etort-135 205607.0708
etort-2 etort-136 211365.8617
etort-2 etort-137 206198.2673
etort-2 etort-138 207652.341
etort-2 etort-139 212234.1463
etort-2 etort-140 210266.315
etort-2 etort-141 210806.8417
etort-2 etort-142 212099.0694
etort-2 etort-143 203778.0504
etort-2 etort-144 204531.61
etort-2 etort-145 206228.5858
etort-2 etort-146 209224.4917
etort-2 etort-147 215815.8275
etort-2 etort-148 215290.7506
etort-2 etort-149 215287.0432
etort-2 etort-150 211340.0187
etort-2 etort-151 212332.9552
etort-2 etort-152 213769.2648
etort-2 etort-153 213078.5729
etort-2 etort-154 213172.7297
etort-2 etort-155 214229.2929
etort-2 etort-156 215035.0951
etort-2 etort-157 213273.5384
etort-2 etort-158 210351.1797
etort-2 etort-159 205813.7416
etort-2 etort-161 204538.7736
etort-2 etort-162 203889.6104
etort-2 etort-163 210853.982
etort-2 etort-164 209580.4068
etort-2 etort-166 211984.0149
etort-2 etort-167 213247.8965
etort-2 etort-168 213786.8111
etort-2 etort-169 216874.0736
etort-2 etort-170 224199.9275
etort-2 etort-172 221663.5538
etort-2 etort-173 223455.5413
etort-2 etort-174 223625.5479
etort-2 etort-175 222888.1545
etort-2 etort-176 222737.9169
etort-2 etort-177 221082.5305
etort-2 etort-178 221888.4715
etort-2 etort-179 220339.0302
etort-2 etort-180 222940.4738
etort-2 etort-181 224294.8629
etort-2 etort-182 218983.8023
etort-2 etort-183 218199.9984
etort-2 etort-184 220274.1341
etort-2 etort-185 219182.8996
etort-2 etort-186 226649.3459
etort-2 etort-187 220346.9311
etort-3 etort-4 24084.79105
etort-3 etort-5 51274.17676
etort-3 etort-6 153274.9552
etort-3 etort-7 172741.71
etort-3 etort-8 156382.1199
etort-3 etort-9 120662.6932
etort-3 etort-10 156332.7306
etort-3 etort-11 111026.2619
etort-3 etort-12 145663.36
etort-3 etort-13 50084.4189
etort-3 etort-14 66455.26932
etort-3 etort-15 280059.0342
etort-3 etort-16 65995.20652
etort-3 etort-17 346112.337
etort-3 etort-18 110110.4726
etort-3 etort-19 37757.13815
etort-3 etort-20 29729.96552
etort-3 etort-21 153597.2695
etort-3 etort-22 142097.6251
etort-3 etort-23 102271.0764
etort-3 etort-24 140187.7967
etort-3 etort-25 122559.196
etort-3 etort-26 132980.7666
etort-3 etort-27 190205.3169
etort-3 etort-28 204165.6857
etort-3 etort-30 176682.625
etort-3 etort-31 322119.5885
etort-3 etort-32 162503.8674
etort-3 etort-33 113171.5633
etort-3 etort-34 124318.186
etort-3 etort-35 168580.0775
etort-3 etort-36 207663.2514
etort-3 etort-37 284055.8704
etort-3 etort-38 265273.0345
etort-3 etort-39 132840.0543
etort-3 etort-40 121952.7162
etort-3 etort-41 133014.3047
etort-3 etort-42 144540.4586
etort-3 etort-43 90526.4186
etort-3 etort-44 92843.58688
etort-3 etort-45 88170.0051
etort-3 etort-46 127505.6825
etort-3 etort-47 128737.7661
etort-3 etort-48 130539.5602
etort-3 etort-49 98403.6134
etort-3 etort-50 97448.14421
etort-3 etort-51 94767.68176
etort-3 etort-52 88307.27164
etort-3 etort-53 262867.208
etort-3 etort-54 96457.30069
etort-3 etort-55 131657.9155
etort-3 etort-56 150948.2133
etort-3 etort-57 78864.54191
etort-3 etort-58 353756.4473
etort-3 etort-59 194660.807
etort-3 etort-60 86125.2158
etort-3 etort-61 61480.97078
etort-3 etort-62 222917.4047
etort-3 etort-63 30423.78979
etort-3 etort-64 18813.24666
etort-3 etort-65 47244.88755
etort-3 etort-66 32111.47099
etort-3 etort-67 29993.60575
etort-3 etort-68 22283.89681
etort-3 etort-69 71366.7525
etort-3 etort-70 100812.2304
etort-3 etort-71 72793.36987
etort-3 etort-72 85534.89525
etort-3 etort-73 39876.81062
etort-3 etort-74 80644.88155
etort-3 etort-75 98651.84945
etort-3 etort-76 98368.75041
etort-3 etort-77 57166.88723
etort-3 etort-78 256346.1845
etort-3 etort-79 192162.822
etort-3 etort-80 198993.0624
etort-3 etort-81 140053.0558
