"etort1","etort2","divergence"
"etort-1","etort-1",0.140162
"etort-1","etort-2",0.208372
"etort-2","etort-2",0.122203
"etort-1","etort-3",0.207091
"etort-2","etort-3",0.19475
"etort-3","etort-3",0.127073
"etort-1","etort-4",0.209987
"etort-2","etort-4",0.194631
"etort-3","etort-4",0.190355
"etort-4","etort-4",0.123177
"etort-1","etort-5",0.211321
"etort-2","etort-5",0.202129
"etort-3","etort-5",0.19778
"etort-4","etort-5",0.198395
"etort-5","etort-5",0.127648
"etort-1","etort-6",0.214666
"etort-2","etort-6",0.20806
"etort-3","etort-6",0.207926
"etort-4","etort-6",0.20787
"etort-5","etort-6",0.203428
"etort-6","etort-6",0.128108
"etort-1","etort-7",0.210256
"etort-2","etort-7",0.212582
"etort-3","etort-7",0.211739
"etort-4","etort-7",0.210811
"etort-5","etort-7",0.207161
"etort-6","etort-7",0.206558
"etort-7","etort-7",0.129688
"etort-1","etort-8",0.208512
"etort-2","etort-8",0.205887
"etort-3","etort-8",0.20534
"etort-4","etort-8",0.205682
"etort-5","etort-8",0.200135
"etort-6","etort-8",0.20233
"etort-7","etort-8",0.200521
"etort-8","etort-8",0.126712
"etort-1","etort-9",0.210942
"etort-2","etort-9",0.198839
"etort-3","etort-9",0.198939
"etort-4","etort-9",0.199699
"etort-5","etort-9",0.19488
"etort-6","etort-9",0.199691
"etort-7","etort-9",0.206405
"etort-8","etort-9",0.198101
"etort-9","etort-9",0.126403
"etort-1","etort-10",0.199766
"etort-2","etort-10",0.19824
"etort-3","etort-10",0.194773
"etort-4","etort-10",0.195149
"etort-5","etort-10",0.200058
"etort-6","etort-10",0.206741
"etort-7","etort-10",0.210198
"etort-8","etort-10",0.2034
"etort-9","etort-10",0.199522
"etort-10","etort-10",0.12526
"etort-1","etort-11",0.201863
"etort-2","etort-11",0.20164
"etort-3","etort-11",0.194804
"etort-4","etort-11",0.19635
"etort-5","etort-11",0.200005
"etort-6","etort-11",0.210794
"etort-7","etort-11",0.210099
"etort-8","etort-11",0.205726
"etort-9","etort-11",0.201704
"etort-10","etort-11",0.185638
"etort-11","etort-11",0.125216
"etort-1","etort-12",0.204214
"etort-2","etort-12",0.213929
"etort-3","etort-12",0.211676
"etort-4","etort-12",0.213201
"etort-5","etort-12",0.212407
"etort-6","etort-12",0.213157
"etort-7","etort-12",0.202896
"etort-8","etort-12",0.20596
"etort-9","etort-12",0.20984
"etort-10","etort-12",0.20973
"etort-11","etort-12",0.209677
"etort-12","etort-12",0.1337
"etort-1","etort-13",0.209001
"etort-2","etort-13",0.195262
"etort-3","etort-13",0.194172
"etort-4","etort-13",0.192209
"etort-5","etort-13",0.198302
"etort-6","etort-13",0.206616
"etort-7","etort-13",0.210841
"etort-8","etort-13",0.20329
"etort-9","etort-13",0.199167
"etort-10","etort-13",0.195634
"etort-11","etort-13",0.200056
"etort-12","etort-13",0.213354
"etort-13","etort-13",0.128167
"etort-1","etort-14",0.212439
"etort-2","etort-14",0.194688
"etort-3","etort-14",0.198556
"etort-4","etort-14",0.196072
"etort-5","etort-14",0.203959
"etort-6","etort-14",0.211037
"etort-7","etort-14",0.212212
"etort-8","etort-14",0.20707
"etort-9","etort-14",0.202169
"etort-10","etort-14",0.197549
"etort-11","etort-14",0.202296
"etort-12","etort-14",0.216139
"etort-13","etort-14",0.192147
"etort-14","etort-14",0.126615
"etort-1","etort-15",0.202973
"etort-2","etort-15",0.220773
"etort-3","etort-15",0.221537
"etort-4","etort-15",0.222972
"etort-5","etort-15",0.220636
"etort-6","etort-15",0.219457
"etort-7","etort-15",0.206617
"etort-8","etort-15",0.211452
"etort-9","etort-15",0.220998
"etort-10","etort-15",0.220386
"etort-11","etort-15",0.219425
"etort-12","etort-15",0.199886
"etort-13","etort-15",0.220725
"etort-14","etort-15",0.22387
"etort-15","etort-15",0.124988
"etort-1","etort-16",0.212045
"etort-2","etort-16",0.203978
"etort-3","etort-16",0.202619
"etort-4","etort-16",0.203322
"etort-5","etort-16",0.203096
"etort-6","etort-16",0.208722
"etort-7","etort-16",0.215009
"etort-8","etort-16",0.207541
"etort-9","etort-16",0.202231
"etort-10","etort-16",0.201558
"etort-11","etort-16",0.203556
"etort-12","etort-16",0.216297
"etort-13","etort-16",0.204953
"etort-14","etort-16",0.207875
"etort-15","etort-16",0.225461
"etort-16","etort-16",0.131923
"etort-1","etort-17",0.202106
"etort-2","etort-17",0.220868
"etort-3","etort-17",0.223072
"etort-4","etort-17",0.223777
"etort-5","etort-17",0.221705
"etort-6","etort-17",0.220952
"etort-7","etort-17",0.20793
"etort-8","etort-17",0.213383
"etort-9","etort-17",0.220602
"etort-10","etort-17",0.219532
"etort-11","etort-17",0.219618
"etort-12","etort-17",0.200866
"etort-13","etort-17",0.221039
"etort-14","etort-17",0.224203
"etort-15","etort-17",0.183806
"etort-16","etort-17",0.225616
"etort-17","etort-17",0.111703
"etort-1","etort-18",0.206189
"etort-2","etort-18",0.19701
"etort-3","etort-18",0.190997
"etort-4","etort-18",0.194124
"etort-5","etort-18",0.197448
"etort-6","etort-18",0.20514
"etort-7","etort-18",0.210078
"etort-8","etort-18",0.2047
"etort-9","etort-18",0.198977
"etort-10","etort-18",0.189409
"etort-11","etort-18",0.192122
"etort-12","etort-18",0.211125
"etort-13","etort-18",0.196825
"etort-14","etort-18",0.198652
"etort-15","etort-18",0.221981
"etort-16","etort-18",0.200676
"etort-17","etort-18",0.221545
"etort-18","etort-18",0.122558
"etort-1","etort-19",0.209736
"etort-2","etort-19",0.194779
"etort-3","etort-19",0.192796
"etort-4","etort-19",0.190702
"etort-5","etort-19",0.199588
"etort-6","etort-19",0.209433
"etort-7","etort-19",0.211838
"etort-8","etort-19",0.205133
"etort-9","etort-19",0.199333
"etort-10","etort-19",0.196019
"etort-11","etort-19",0.197779
"etort-12","etort-19",0.213128
"etort-13","etort-19",0.191978
"etort-14","etort-19",0.1975
"etort-15","etort-19",0.222343
"etort-16","etort-19",0.20418
"etort-17","etort-19",0.223231
"etort-18","etort-19",0.192809
"etort-19","etort-19",0.126332
"etort-1","etort-20",0.210317
"etort-2","etort-20",0.195795
"etort-3","etort-20",0.19319
"etort-4","etort-20",0.190451
"etort-5","etort-20",0.20011
"etort-6","etort-20",0.209596
"etort-7","etort-20",0.213753
"etort-8","etort-20",0.20737
"etort-9","etort-20",0.200914
"etort-10","etort-20",0.196986
"etort-11","etort-20",0.19868
"etort-12","etort-20",0.214438
"etort-13","etort-20",0.191569
"etort-14","etort-20",0.198672
"etort-15","etort-20",0.222757
"etort-16","etort-20",0.205798
"etort-17","etort-20",0.224665
"etort-18","etort-20",0.195399
"etort-19","etort-20",0.191578
"etort-20","etort-20",0.124732
"etort-1","etort-21",0.199562
"etort-2","etort-21",0.197968
"etort-3","etort-21",0.193781
"etort-4","etort-21",0.1969
"etort-5","etort-21",0.198186
"etort-6","etort-21",0.207556
"etort-7","etort-21",0.210752
"etort-8","etort-21",0.202737
"etort-9","etort-21",0.201519
"etort-10","etort-21",0.183604
"etort-11","etort-21",0.187788
"etort-12","etort-21",0.208584
"etort-13","etort-21",0.197068
"etort-14","etort-21",0.19966
