"","478 1","1439 1","1438 1","1397 1","355 1","1435 1","473 1","472 1","601 1","1442 1","1652 1","1786 1","471 1","477 1","560 1","1783 1","7 1","81 1","1784 1"
"478 1",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"1439 1",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1438 1",0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
"1397 1",0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"355 1",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1435 1",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"473 1",0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
"472 1",0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"601 1",1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"1442 1",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1652 1",0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
"1786 1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"471 1",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"477 1",1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0
"560 1",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1
"1783 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"7 1",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
"81 1",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
"1784 1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
