"longitude","latitude","id","group"
-116.78805584804,36.9309819996602,"etort-1","N"
-116.667751074249,33.9486037693187,"etort-2","S"
-115.956071799,34.2272482963834,"etort-3","S"
-115.69863353282,34.2654922340308,"etort-4","S"
-115.69374575375,34.6353071723917,"etort-5","S"
-114.75110130903,35.1860320115548,"etort-6","S"
-114.739463761974,35.4183208923371,"etort-7","S"
-115.044145332481,35.4198375942934,"etort-8","S"
-114.647248091812,34.2747354898049,"etort-9","S"
-117.544600446935,34.7344028411335,"etort-10","S"
-116.72921788258,34.9978308168282,"etort-11","S"
-115.757297701109,35.5303541132572,"etort-12","N"
-115.722683519056,33.8195519598162,"etort-13","S"
-115.848028539058,33.634768651336,"etort-14","S"
-114.511422108099,36.457069677818,"etort-15","N"
-115.967755944235,34.8222575549014,"etort-16","S"
-114.079032634665,36.9440606909788,"etort-17","N"
-116.900502314515,34.8397076526182,"etort-18","S"
-115.611284537546,34.0436177577107,"etort-19","S"
-115.725148281071,34.0401710417075,"etort-20","S"
-117.384048648926,34.9511037090147,"etort-21","S"
-117.335348370198,34.8092483113525,"etort-22","S"
-116.448015910005,35.0550031593604,"etort-23","S"
-116.845800202865,35.2561624221009,"etort-24","S"
-116.710118652467,35.140178887973,"etort-25","S"
-114.514778473505,34.1708667373964,"etort-26","S"
-117.644179090148,35.2270355345213,"etort-27","S"
-117.724996671208,35.3497475492958,"etort-28","S"
-114.865448758395,35.5423664976705,"etort-30","N"
-114.270981514296,36.7829673724109,"etort-31","N"
-114.862406028401,35.3816258283881,"etort-32","S"
-114.940197462335,34.8052044450876,"etort-33","S"
-114.621920195582,34.4025650526329,"etort-34","S"
-115.010760254544,35.5322673688382,"etort-35","S"
-116.177040973447,36.0908088949665,"etort-36","N"
-116.595945043134,36.7343256979662,"etort-37","N"
-114.963030414732,36.4760014205772,"etort-38","N"
-114.538064356458,34.4525177708079,"etort-39","S"
-114.717223094248,34.6209447394856,"etort-40","S"
-114.832872976944,34.9859547399944,"etort-41","S"
-114.82986780979,35.139735243374,"etort-42","S"
-115.404958558207,34.9042888882788,"etort-43","S"
-115.393342344143,34.9230340947507,"etort-44","S"
-115.294476905628,34.8035193477637,"etort-45","S"
-115.435897346446,35.2937107182564,"etort-46","N"
-115.416000169282,35.2989964668198,"etort-47","N"
-115.424030803313,35.3192788482198,"etort-48","N"
-115.649443592249,35.0775664678519,"etort-49","N"
-115.62539420624,35.0623198982116,"etort-50","N"
-115.634942180392,35.0394627486497,"etort-51","N"
-115.441114213256,34.8999253043339,"etort-52","S"
-114.489447270193,36.2686741842125,"etort-53","N"
-115.39946401809,34.965166947602,"etort-54","S"
