"","WBD2","WBD4","WBD6","WBD8","WBD10","handpicked_WBD8"
"etort-1",1,1,1,1,1,10
"etort-2",1,2,2,2,2,4
"etort-3",1,2,3,3,3,4
"etort-4",1,2,3,3,4,4
"etort-5",1,2,3,3,5,4
"etort-6",2,3,4,4,6,1
"etort-7",2,3,4,4,7,1
"etort-8",2,3,4,5,8,1
"etort-9",2,3,4,6,9,2
"etort-10",1,1,1,7,10,8
"etort-11",1,1,1,8,11,7
"etort-12",1,1,1,9,12,11
"etort-13",1,2,3,3,13,4
"etort-14",1,2,2,10,14,5
"etort-15",2,4,5,11,15,6
"etort-16",1,1,1,7,16,13
"etort-17",2,4,5,12,17,6
"etort-18",1,1,1,7,18,8
"etort-19",1,2,3,3,19,4
"etort-20",1,2,3,3,19,4
"etort-21",1,1,1,8,20,7
"etort-22",1,1,1,7,21,8
"etort-23",1,1,1,7,22,8
"etort-24",1,1,1,8,23,7
"etort-25",1,1,1,8,11,7
"etort-26",2,3,4,6,9,2
"etort-27",1,1,1,13,24,7
"etort-28",1,1,1,13,25,7
"etort-30",3,5,6,14,26,9
"etort-31",2,4,5,12,27,6
"etort-32",2,3,4,5,8,1
"etort-33",1,2,3,3,28,4
"etort-34",2,3,4,4,29,2
"etort-35",2,3,4,5,8,1
"etort-36",1,1,1,1,30,10
"etort-37",1,1,1,1,31,10
"etort-38",2,4,5,15,32,6
"etort-39",2,3,4,4,29,2
"etort-40",2,3,4,4,33,2
"etort-41",2,3,4,5,34,1
"etort-42",2,3,4,5,34,1
"etort-43",1,2,3,3,35,4
"etort-44",1,2,3,3,35,4
"etort-45",1,2,3,3,36,4
"etort-46",3,5,6,14,37,9
"etort-47",3,5,6,14,37,9
"etort-48",3,5,6,14,37,9
"etort-49",1,1,1,7,38,13
"etort-50",1,1,1,7,38,13
"etort-51",1,1,1,7,38,13
"etort-52",1,2,3,3,35,4
"etort-53",2,4,5,11,39,6
"etort-54",1,2,3,3,35,4
"etort-55",3,5,6,14,37,9
"etort-56 (sheared2)",1,1,1,9,12,11
"etort-57",1,2,3,3,40,4
"etort-58",2,4,5,16,41,6
"etort-59",3,5,6,14,42,9
"etort-60 (sheared2)",1,2,3,3,43,4
"etort-61",1,2,2,10,14,5
"etort-62",2,4,5,17,44,12
"etort-63",1,2,3,3,19,4
"etort-64",1,2,3,3,45,4
"etort-65",1,2,3,3,13,4
"etort-66",1,2,3,3,46,4
"etort-67",1,2,3,3,46,4
"etort-68",1,2,3,3,47,4
"etort-69",1,1,1,7,48,8
"etort-70",1,1,1,7,38,13
"etort-71",1,2,3,3,40,4
"etort-72",1,2,2,10,49,5
"etort-73",1,2,3,3,4,4
"etort-74",1,1,1,7,48,8
"etort-75",1,1,1,7,38,13
"etort-76",1,1,1,7,38,13
"etort-77",1,2,3,3,5,4
"etort-78",3,5,6,18,50,12
"etort-79",3,5,6,14,51,9
"etort-80",3,5,6,14,52,9
"etort-81",3,5,6,14,37,9
"etort-82",3,5,6,14,37,9
"etort-83",3,5,6,14,37,9
