"etort","weight"
"etort-1",1
"etort-2",1
"etort-3",1
"etort-4",1
"etort-5",1
"etort-6",1
"etort-7",1
"etort-8",1
"etort-9",1
"etort-10",1
"etort-11",1
"etort-12",1
"etort-13",1
"etort-14",1
"etort-15",1
"etort-16",1
"etort-17",1
"etort-18",1
"etort-19",1
"etort-20",1
"etort-21",1
"etort-22",1
"etort-23",1
"etort-24",1
"etort-25",1
"etort-26",1
"etort-27",1
"etort-28",1
"etort-30",1
"etort-31",1
"etort-32",1
"etort-33",1
"etort-34",1
"etort-35",1
"etort-36",1
"etort-37",1
"etort-38",1
"etort-39",1
"etort-40",1
"etort-41",1
"etort-42",1
"etort-43",1
"etort-44",1
"etort-45",1
"etort-46",1
"etort-47",1
"etort-48",1
"etort-49",1
"etort-50",1
"etort-51",1
"etort-52",1
"etort-53",1
"etort-54",1
"etort-55",1
"etort-56 (sheared2)",1
"etort-57",1
"etort-58",1
"etort-59",1
"etort-60 (sheared2)",1
"etort-61",1
"etort-62",1
"etort-63",1
"etort-64",1
"etort-65",1
"etort-66",1
"etort-67",1
"etort-68",1
"etort-69",1
"etort-70",1
"etort-71",1
"etort-72",1
"etort-73",1
"etort-74",1
"etort-75",1
"etort-76",1
"etort-77",1
"etort-78",1
"etort-79",1
"etort-80",1
"etort-81",1
"etort-82",1
"etort-83",1
"etort-84",1
"etort-85",1
"etort-86",1
"etort-87",1
"etort-88",1
"etort-89",1
"etort-90",1
"etort-91",1
"etort-92",1
"etort-93",1
"etort-94",1
"etort-95",1
"etort-96",1
"etort-97",1
"etort-98",1
"etort-99",1
"etort-100",1
"etort-102",1
"etort-103",1
"etort-104",1
"etort-105",1
"etort-106",1
"etort-107",1
"etort-108",1
"etort-109",1
"etort-110",1
"etort-111",1
"etort-112",1
"etort-113",1
"etort-115",1
"etort-116",1
"etort-117",1
"etort-119",1
"etort-120",1
"etort-121",1
"etort-122",1
"etort-123",1
"etort-124",1
"etort-125",1
"etort-126",1
"etort-127",1
"etort-128",1
"etort-129",1
"etort-130",1
"etort-131",1
"etort-132",1
"etort-133",1
"etort-134",1
"etort-135",1
"etort-136",1
"etort-137",1
"etort-138",1
"etort-139",1
"etort-140",1
"etort-141",1
"etort-142",1
"etort-143",0.5
"etort-144",1
"etort-145",1
"etort-146",1
"etort-147",1
"etort-148",1
"etort-149",1
"etort-150",1
"etort-151",1
"etort-152",1
"etort-153",1
"etort-154",1
"etort-155",1
"etort-156",0.5
"etort-157",1
"etort-158",1
"etort-159",1
"etort-161",1
"etort-162",1
"etort-163",1
"etort-164",1
"etort-166",1
"etort-167",1
"etort-168",1
"etort-169",1
"etort-170",1
"etort-172",1
"etort-173",1
"etort-174",1
"etort-175",1
"etort-176",1
"etort-177",1
"etort-178",1
"etort-179",1
"etort-180",1
"etort-181",1
"etort-182",1
"etort-183",1
"etort-184",1
"etort-185",1
"etort-186",1
"etort-187",1
"etort-188",1
"etort-189",1
"etort-190",1
"etort-191",1
"etort-192",1
"etort-193",1
"etort-194",1
"etort-195",1
"etort-196",1
"etort-197",1
"etort-202",1
"etort-203",1
"etort-208",1
"etort-209",1
"etort-210",1
"etort-211",1
"etort-212",1
"etort-213",1
"etort-214",1
"etort-215",1
"etort-216",1
"etort-217",1
"etort-218",1
"etort-219",1
"etort-220",1
"etort-221",1
"etort-222",1
"etort-223",1
"etort-224",1
"etort-225",1
"etort-226",1
"etort-227",1
"etort-228",1
"etort-229",1
"etort-230",1
"etort-231",1
"etort-232",1
"etort-233",1
"etort-234",1
"etort-235",1
"etort-236",1
"etort-237",1
"etort-238",1
"etort-239",1
"etort-240",1
"etort-241",1
"etort-242",1
"etort-243",1
"etort-244",1
"etort-245",1
"etort-247",1
"etort-248",1
"etort-249",1
"etort-250",1
"etort-251",1
"etort-252",1
"etort-253",1
"etort-254",1
"etort-255",1
"etort-256",1
"etort-257",1
"etort-258",1
"etort-259",1
"etort-260",1
"etort-261",1
"etort-262",1
"etort-263",1
"etort-264",1
"etort-265",1
"etort-266",1
"etort-267",1
"etort-268",1
"etort-269",1
"etort-270",1
"etort-271",1
"etort-272",1
"etort-273",1
"etort-274",1
"etort-275",1
"etort-276",1
"etort-277",1
"etort-278",1
"etort-282",1
"etort-283",1
"etort-284",1
"etort-285",1
"etort-286",1
"etort-287",1
"etort-288",1
"etort-289",1
"etort-296",0.5
"etort-297",0.5
