"etort1","etort2","pi"
"etort-15","etort-15",0.107655
"etort-15","etort-17",0.160547
"etort-17","etort-17",0.0971267
"etort-15","etort-31",0.162151
"etort-17","etort-31",0.147127
"etort-31","etort-31",0.0979817
"etort-15","etort-36",0.166229
"etort-17","etort-36",0.16691
"etort-31","etort-36",0.167493
"etort-36","etort-36",0.103112
"etort-15","etort-37",0.162111
"etort-17","etort-37",0.160677
"etort-31","etort-37",0.162585
"etort-36","etort-37",0.159365
"etort-37","etort-37",0.0987368
"etort-15","etort-38",0.161514
"etort-17","etort-38",0.159199
"etort-31","etort-38",0.159474
"etort-36","etort-38",0.16766
"etort-37","etort-38",0.162506
"etort-38","etort-38",0.105941
"etort-15","etort-46",0.170463
"etort-17","etort-46",0.172605
"etort-31","etort-46",0.173424
"etort-36","etort-46",0.172588
"etort-37","etort-46",0.170784
"etort-38","etort-46",0.173406
"etort-46","etort-46",0.117953
"etort-15","etort-47",0.170778
"etort-17","etort-47",0.172772
"etort-31","etort-47",0.173502
"etort-36","etort-47",0.172848
"etort-37","etort-47",0.171264
"etort-38","etort-47",0.173647
"etort-46","etort-47",0.16952
"etort-47","etort-47",0.119888
"etort-15","etort-48",0.168533
"etort-17","etort-48",0.169933
"etort-31","etort-48",0.170893
"etort-36","etort-48",0.16929
"etort-37","etort-48",0.16859
"etort-38","etort-48",0.17131
"etort-46","etort-48",0.166998
"etort-47","etort-48",0.165383
"etort-48","etort-48",0.113648
"etort-15","etort-49",0.173519
"etort-17","etort-49",0.174039
"etort-31","etort-49",0.175481
"etort-36","etort-49",0.172679
"etort-37","etort-49",0.171839
"etort-38","etort-49",0.175374
"etort-46","etort-49",0.172725
"etort-47","etort-49",0.173227
"etort-48","etort-49",0.169273
"etort-49","etort-49",0.113646
"etort-15","etort-51",0.178858
"etort-17","etort-51",0.179144
"etort-31","etort-51",0.180521
"etort-36","etort-51",0.178707
"etort-37","etort-51",0.178134
"etort-38","etort-51",0.180422
"etort-46","etort-51",0.176583
"etort-47","etort-51",0.176718
"etort-48","etort-51",0.17292
"etort-49","etort-51",0.173636
"etort-51","etort-51",0.115043
"etort-15","etort-53",0.160041
"etort-17","etort-53",0.158941
"etort-31","etort-53",0.160475
"etort-36","etort-53",0.166772
"etort-37","etort-53",0.162107
"etort-38","etort-53",0.160235
"etort-46","etort-53",0.171736
"etort-47","etort-53",0.17202
"etort-48","etort-53",0.169324
"etort-49","etort-53",0.174113
"etort-51","etort-53",0.179429
"etort-53","etort-53",0.103632
"etort-15","etort-55",0.171289
"etort-17","etort-55",0.172497
"etort-31","etort-55",0.17428
"etort-36","etort-55",0.172519
"etort-37","etort-55",0.170926
"etort-38","etort-55",0.173764
"etort-46","etort-55",0.16834
"etort-47","etort-55",0.169844
"etort-48","etort-55",0.167711
"etort-49","etort-55",0.171397
"etort-51","etort-55",0.173837
"etort-53","etort-55",0.172591
"etort-55","etort-55",0.112787
"etort-15","etort-56 (sheared2)",0.16981
"etort-17","etort-56 (sheared2)",0.171143
"etort-31","etort-56 (sheared2)",0.171807
"etort-36","etort-56 (sheared2)",0.168528
"etort-37","etort-56 (sheared2)",0.168031
"etort-38","etort-56 (sheared2)",0.171834
"etort-46","etort-56 (sheared2)",0.171446
"etort-47","etort-56 (sheared2)",0.169976
"etort-48","etort-56 (sheared2)",0.167432
"etort-49","etort-56 (sheared2)",0.169694
"etort-51","etort-56 (sheared2)",0.175601
"etort-53","etort-56 (sheared2)",0.170856
"etort-55","etort-56 (sheared2)",0.171067
"etort-56 (sheared2)","etort-56 (sheared2)",0.113825
"etort-15","etort-58",0.160603
"etort-17","etort-58",0.156396
"etort-31","etort-58",0.157284
"etort-36","etort-58",0.165145
"etort-37","etort-58",0.160728
"etort-38","etort-58",0.158302
"etort-46","etort-58",0.171747
"etort-47","etort-58",0.171899
"etort-48","etort-58",0.169601
"etort-49","etort-58",0.173831
"etort-51","etort-58",0.179447
"etort-53","etort-58",0.159111
"etort-55","etort-58",0.171882
"etort-56 (sheared2)","etort-58",0.170029
"etort-58","etort-58",0.109721
"etort-15","etort-59",0.172137
"etort-17","etort-59",0.174577
"etort-31","etort-59",0.175511
"etort-36","etort-59",0.17491
"etort-37","etort-59",0.173619
"etort-38","etort-59",0.175463
"etort-46","etort-59",0.174681
"etort-47","etort-59",0.174382
"etort-48","etort-59",0.171468
"etort-49","etort-59",0.174678
"etort-51","etort-59",0.178404
"etort-53","etort-59",0.173536
"etort-55","etort-59",0.173805
"etort-56 (sheared2)","etort-59",0.173792
"etort-58","etort-59",0.173394
"etort-59","etort-59",0.119973
"etort-15","etort-62",0.16471
"etort-17","etort-62",0.166017
"etort-31","etort-62",0.166523
"etort-36","etort-62",0.169251
"etort-37","etort-62",0.165325
"etort-38","etort-62",0.166179
"etort-46","etort-62",0.171182
"etort-47","etort-62",0.171632
"etort-48","etort-62",0.168096
"etort-49","etort-62",0.173314
"etort-51","etort-62",0.177368
"etort-53","etort-62",0.163822
"etort-55","etort-62",0.171054
"etort-56 (sheared2)","etort-62",0.170291
"etort-58","etort-62",0.16527
"etort-59","etort-62",0.170695
"etort-62","etort-62",0.111368
"etort-15","etort-78",0.163812
"etort-17","etort-78",0.164618
"etort-31","etort-78",0.165501
"etort-36","etort-78",0.162026
"etort-37","etort-78",0.155055
"etort-38","etort-78",0.164652
"etort-46","etort-78",0.172858
"etort-47","etort-78",0.172741
"etort-48","etort-78",0.170262
"etort-49","etort-78",0.173792
"etort-51","etort-78",0.18011
"etort-53","etort-78",0.163733
"etort-55","etort-78",0.172981
"etort-56 (sheared2)","etort-78",0.170178
"etort-58","etort-78",0.162348
"etort-59","etort-78",0.175033
"etort-62","etort-78",0.167049
"etort-78","etort-78",0.11127
"etort-15","etort-79",0.168058
"etort-17","etort-79",0.168809
"etort-31","etort-79",0.169136
"etort-36","etort-79",0.16583
"etort-37","etort-79",0.164627
"etort-38","etort-79",0.169627
"etort-46","etort-79",0.171489
"etort-47","etort-79",0.172082
"etort-48","etort-79",0.169814
"etort-49","etort-79",0.171974
"etort-51","etort-79",0.17695
"etort-53","etort-79",0.168563
"etort-55","etort-79",0.172119
"etort-56 (sheared2)","etort-79",0.167377
"etort-58","etort-79",0.167349
"etort-59","etort-79",0.174869
"etort-62","etort-79",0.168807
"etort-78","etort-79",0.166429
"etort-79","etort-79",0.108801
"etort-15","etort-80",0.166108
"etort-17","etort-80",0.167574
"etort-31","etort-80",0.168399
"etort-36","etort-80",0.164453
"etort-37","etort-80",0.162811
"etort-38","etort-80",0.168232
"etort-46","etort-80",0.170844
"etort-47","etort-80",0.171871
"etort-48","etort-80",0.168716
"etort-49","etort-80",0.170889
"etort-51","etort-80",0.176437
"etort-53","etort-80",0.167222
"etort-55","etort-80",0.170737
"etort-56 (sheared2)","etort-80",0.167378
"etort-58","etort-80",0.166472
"etort-59","etort-80",0.17425
"etort-62","etort-80",0.168557
"etort-78","etort-80",0.16521
"etort-79","etort-80",0.16371
"etort-80","etort-80",0.106843
"etort-15","etort-81",0.171119
"etort-17","etort-81",0.173158
"etort-31","etort-81",0.173834
"etort-36","etort-81",0.171658
"etort-37","etort-81",0.170804
"etort-38","etort-81",0.174058
"etort-46","etort-81",0.16978
"etort-47","etort-81",0.170779
"etort-48","etort-81",0.168884
"etort-49","etort-81",0.173138
"etort-51","etort-81",0.174855
"etort-53","etort-81",0.172659
"etort-55","etort-81",0.169274
"etort-56 (sheared2)","etort-81",0.170961
"etort-58","etort-81",0.172025
"etort-59","etort-81",0.174667
"etort-62","etort-81",0.172334
"etort-78","etort-81",0.172202
"etort-79","etort-81",0.170891
"etort-80","etort-81",0.170499
"etort-81","etort-81",0.109951
"etort-15","etort-82",0.169119
"etort-17","etort-82",0.170731
"etort-31","etort-82",0.171567
"etort-36","etort-82",0.170713
"etort-37","etort-82",0.169237
"etort-38","etort-82",0.170819
"etort-46","etort-82",0.167908
"etort-47","etort-82",0.170002
"etort-48","etort-82",0.166512
"etort-49","etort-82",0.171775
"etort-51","etort-82",0.175914
"etort-53","etort-82",0.17018
"etort-55","etort-82",0.167895
"etort-56 (sheared2)","etort-82",0.170265
"etort-58","etort-82",0.169898
"etort-59","etort-82",0.174674
"etort-62","etort-82",0.170099
"etort-78","etort-82",0.170446
"etort-79","etort-82",0.16932
"etort-80","etort-82",0.168998
"etort-81","etort-82",0.167652
"etort-82","etort-82",0.110306
"etort-15","etort-83",0.171306
"etort-17","etort-83",0.172424
"etort-31","etort-83",0.173176
"etort-36","etort-83",0.173955
"etort-37","etort-83",0.171497
"etort-38","etort-83",0.173298
"etort-46","etort-83",0.170853
"etort-47","etort-83",0.169643
"etort-48","etort-83",0.167661
"etort-49","etort-83",0.174278
"etort-51","etort-83",0.177701
"etort-53","etort-83",0.172863
"etort-55","etort-83",0.169801
"etort-56 (sheared2)","etort-83",0.171928
"etort-58","etort-83",0.171404
"etort-59","etort-83",0.174281
"etort-62","etort-83",0.171649
"etort-78","etort-83",0.172786
"etort-79","etort-83",0.171935
"etort-80","etort-83",0.172097
"etort-81","etort-83",0.172889
"etort-82","etort-83",0.16818
"etort-83","etort-83",0.111802
"etort-15","etort-84",0.171541
"etort-17","etort-84",0.172858
"etort-31","etort-84",0.173091
"etort-36","etort-84",0.172492
"etort-37","etort-84",0.171642
"etort-38","etort-84",0.173572
"etort-46","etort-84",0.170096
"etort-47","etort-84",0.170421
"etort-48","etort-84",0.167312
"etort-49","etort-84",0.173714
"etort-51","etort-84",0.177407
"etort-53","etort-84",0.173157
"etort-55","etort-84",0.170113
"etort-56 (sheared2)","etort-84",0.171648
"etort-58","etort-84",0.171904
"etort-59","etort-84",0.174146
"etort-62","etort-84",0.1713
"etort-78","etort-84",0.172545
"etort-79","etort-84",0.170027
"etort-80","etort-84",0.170372
"etort-81","etort-84",0.17047
"etort-82","etort-84",0.169355
"etort-83","etort-84",0.170991
"etort-84","etort-84",0.111469
"etort-15","etort-85",0.171232
"etort-17","etort-85",0.17269
"etort-31","etort-85",0.174023
"etort-36","etort-85",0.17099
"etort-37","etort-85",0.170277
"etort-38","etort-85",0.173466
"etort-46","etort-85",0.170641
"etort-47","etort-85",0.17101
"etort-48","etort-85",0.168098
"etort-49","etort-85",0.173121
"etort-51","etort-85",0.177578
"etort-53","etort-85",0.172838
"etort-55","etort-85",0.170142
"etort-56 (sheared2)","etort-85",0.172316
"etort-58","etort-85",0.172201
"etort-59","etort-85",0.175814
"etort-62","etort-85",0.171337
"etort-78","etort-85",0.172716
"etort-79","etort-85",0.171368
"etort-80","etort-85",0.170006
"etort-81","etort-85",0.170452
"etort-82","etort-85",0.16799
"etort-83","etort-85",0.170728
"etort-84","etort-85",0.170856
"etort-85","etort-85",0.114737
"etort-15","etort-86",0.161447
"etort-17","etort-86",0.154523
"etort-31","etort-86",0.155019
"etort-36","etort-86",0.166838
"etort-37","etort-86",0.161482
"etort-38","etort-86",0.157824
"etort-46","etort-86",0.172247
"etort-47","etort-86",0.172284
"etort-48","etort-86",0.169382
"etort-49","etort-86",0.174236
"etort-51","etort-86",0.179747
"etort-53","etort-86",0.159381
"etort-55","etort-86",0.172612
"etort-56 (sheared2)","etort-86",0.170277
"etort-58","etort-86",0.1539
"etort-59","etort-86",0.173727
"etort-62","etort-86",0.166525
"etort-78","etort-86",0.163729
"etort-79","etort-86",0.168288
"etort-80","etort-86",0.166198
"etort-81","etort-86",0.172533
"etort-82","etort-86",0.169399
"etort-83","etort-86",0.17239
"etort-84","etort-86",0.172585
"etort-85","etort-86",0.171938
"etort-86","etort-86",0.0995461
"etort-15","etort-87",0.167656
"etort-17","etort-87",0.168427
"etort-31","etort-87",0.168996
"etort-36","etort-87",0.165023
"etort-37","etort-87",0.163242
"etort-38","etort-87",0.16883
"etort-46","etort-87",0.171718
"etort-47","etort-87",0.172206
"etort-48","etort-87",0.168905
"etort-49","etort-87",0.170171
"etort-51","etort-87",0.176258
"etort-53","etort-87",0.167713
"etort-55","etort-87",0.171839
"etort-56 (sheared2)","etort-87",0.165758
"etort-58","etort-87",0.166959
"etort-59","etort-87",0.17422
"etort-62","etort-87",0.169241
"etort-78","etort-87",0.164714
"etort-79","etort-87",0.163852
"etort-80","etort-87",0.160892
"etort-81","etort-87",0.170644
"etort-82","etort-87",0.168818
"etort-83","etort-87",0.171747
"etort-84","etort-87",0.171179
"etort-85","etort-87",0.170878
"etort-86","etort-87",0.167489
"etort-87","etort-87",0.10634
"etort-15","etort-89",0.171466
"etort-17","etort-89",0.172296
"etort-31","etort-89",0.172991
