"etort1","etort2","covariance"
"etort-15","etort-15",0.129452
"etort-15","etort-17",0.004432
"etort-17","etort-17",0.119826
"etort-15","etort-31",0.00759
"etort-17","etort-31",0.01274
"etort-31","etort-31",0.223172
"etort-15","etort-36",0.003334
"etort-17","etort-36",0.003134
"etort-31","etort-36",0.005516
"etort-36","etort-36",0.132122
"etort-15","etort-37",0.00487
"etort-17","etort-37",0.004946
"etort-31","etort-37",0.008444
"etort-36","etort-37",0.005705
"etort-37","etort-37",0.147387
"etort-15","etort-38",0.005249
"etort-17","etort-38",0.005518
"etort-31","etort-38",0.01002
"etort-36","etort-38",0.003689
"etort-37","etort-38",0.005582
"etort-38","etort-38",0.139134
"etort-15","etort-46",0.001326
"etort-17","etort-46",0.00104
"etort-31","etort-46",0.001671
"etort-36","etort-46",0.001004
"etort-37","etort-46",0.001494
"etort-38","etort-46",0.001333
"etort-46","etort-46",0.089973
"etort-15","etort-47",0.00132
"etort-17","etort-47",0.001026
"etort-31","etort-47",0.001594
"etort-36","etort-47",0.000965
"etort-37","etort-47",0.001396
"etort-38","etort-47",0.001181
"etort-46","etort-47",0.000936
"etort-47","etort-47",0.09339
"etort-15","etort-48",0.001119
"etort-17","etort-48",0.000918
"etort-31","etort-48",0.001403
"etort-36","etort-48",0.000955
"etort-37","etort-48",0.001181
"etort-38","etort-48",0.001072
"etort-46","etort-48",0.000925
"etort-47","etort-48",0.001108
"etort-48","etort-48",0.089231
"etort-15","etort-49",0.001056
"etort-17","etort-49",0.001016
"etort-31","etort-49",0.001602
"etort-36","etort-49",0.001321
"etort-37","etort-49",0.001828
"etort-38","etort-49",0.001165
"etort-46","etort-49",0.000669
"etort-47","etort-49",0.000602
"etort-48","etort-49",0.000834
"etort-49","etort-49",0.136727
"etort-15","etort-51",0.000101
"etort-17","etort-51",0.000205
"etort-31","etort-51",0.00092
"etort-36","etort-51",0.000242
"etort-37","etort-51",0.000753
"etort-38","etort-51",0.000383
"etort-46","etort-51",0.000465
"etort-47","etort-51",0.000201
"etort-48","etort-51",0.00052
"etort-49","etort-51",0.002209
"etort-51","etort-51",0.244755
"etort-15","etort-53",0.005484
"etort-17","etort-53",0.005423
"etort-31","etort-53",0.009413
"etort-36","etort-53",0.003715
"etort-37","etort-53",0.005556
"etort-38","etort-53",0.006282
"etort-46","etort-53",0.001373
"etort-47","etort-53",0.001367
"etort-48","etort-53",0.001179
"etort-49","etort-53",0.001313
"etort-51","etort-53",0.000475
"etort-53","etort-53",0.141534
"etort-15","etort-55",0.001298
"etort-17","etort-55",0.001154
"etort-31","etort-55",0.001615
"etort-36","etort-55",0.001101
"etort-37","etort-55",0.001681
"etort-38","etort-55",0.001321
"etort-46","etort-55",0.001319
"etort-47","etort-55",0.001039
"etort-48","etort-55",0.000851
"etort-49","etort-55",0.001035
"etort-51","etort-55",0.001503
"etort-53","etort-55",0.001359
"etort-55","etort-55",0.115726
"etort-15","etort-56 (sheared2)",0.001617
"etort-17","etort-56 (sheared2)",0.001397
"etort-31","etort-56 (sheared2)",0.00241
"etort-36","etort-56 (sheared2)",0.001933
"etort-37","etort-56 (sheared2)",0.002262
"etort-38","etort-56 (sheared2)",0.001775
"etort-46","etort-56 (sheared2)",0.000758
"etort-47","etort-56 (sheared2)",0.001002
"etort-48","etort-56 (sheared2)",0.000813
"etort-49","etort-56 (sheared2)",0.001369
"etort-51","etort-56 (sheared2)",0.000672
"etort-53","etort-56 (sheared2)",0.001705
"etort-55","etort-56 (sheared2)",0.000846
"etort-56 (sheared2)","etort-56 (sheared2)",0.107233
"etort-15","etort-58",0.005688
"etort-17","etort-58",0.006505
"etort-31","etort-58",0.011785
"etort-36","etort-58",0.00443
"etort-37","etort-58",0.006441
"etort-38","etort-58",0.007581
"etort-46","etort-58",0.001436
"etort-47","etort-58",0.001248
"etort-48","etort-58",0.001131
"etort-49","etort-58",0.001271
"etort-51","etort-58",0.000187
"etort-53","etort-58",0.006895
"etort-55","etort-58",0.001519
"etort-56 (sheared2)","etort-58",0.001915
"etort-58","etort-58",0.156529
"etort-15","etort-59",0.001272
"etort-17","etort-59",0.000759
"etort-31","etort-59",0.001313
"etort-36","etort-59",0.000594
"etort-37","etort-59",0.001041
"etort-38","etort-59",0.001119
"etort-46","etort-59",0.000315
"etort-47","etort-59",0.000169
"etort-48","etort-59",0.000284
"etort-49","etort-59",0.000284
"etort-51","etort-59",-0.000447
"etort-53","etort-59",0.001241
"etort-55","etort-59",0.000311
"etort-56 (sheared2)","etort-59",0.000297
"etort-58","etort-59",0.001344
"etort-59","etort-59",0.128385
"etort-15","etort-62",0.004135
"etort-17","etort-62",0.003546
"etort-31","etort-62",0.006721
"etort-36","etort-62",0.002728
"etort-37","etort-62",0.004381
"etort-38","etort-62",0.004634
"etort-46","etort-62",0.001078
"etort-47","etort-62",0.000992
"etort-48","etort-62",0.001046
"etort-49","etort-62",0.000905
"etort-51","etort-62",0.000424
