"etort1","etort2","distance"
"etort-15","etort-15",0
"etort-15","etort-17",66331.59898382
"etort-17","etort-17",0
"etort-15","etort-31",42027.9601115714
"etort-17","etort-31",24694.7546810476
"etort-31","etort-31",0
"etort-15","etort-36",154464.861223213
"etort-17","etort-36",209678.06239387
"etort-31","etort-36",186686.408499216
"etort-36","etort-36",0
"etort-15","etort-37",188215.962588216
"etort-17","etort-37",224661.647845612
"etort-31","etort-37",206710.90925516
"etort-36","etort-37",80614.2032657652
"etort-37","etort-37",0
"etort-15","etort-38",40354.7649871962
"etort-17","etort-38",94230.7318793423
"etort-31","etort-38",70407.6861885893
"etort-36","etort-38",116712.053641486
"etort-37","etort-38",148236.69629693
"etort-38","etort-38",0
"etort-15","etort-46",153550.408555184
"etort-17","etort-46",219847.200857583
"etort-31","etort-46",195546.186407424
"etort-36","etort-46",110853.84187517
"etort-37","etort-46",190786.558551976
"etort-38","etort-46",137905.350725914
"etort-46","etort-46",0
"etort-15","etort-47",152091.203497267
"etort-17","etort-47",218372.446246211
"etort-31","etort-47",194097.544229736
"etort-36","etort-47",111480.540308511
"etort-37","etort-47",191276.972627666
"etort-38","etort-47",136803.623693948
"etort-46","etort-47",1896.8151602068
"etort-47","etort-47",0
"etort-15","etort-48",150581.332825244
"etort-17","etort-48",216885.260610357
"etort-31","etort-48",192571.023035146
"etort-36","etort-48",109258.702752407
"etort-37","etort-48",188997.179308471
"etort-38","etort-48",134875.666756841
"etort-46","etort-48",3033.78929727922
"etort-47","etort-48",2365.0652458919
"etort-48","etort-48",0
"etort-15","etort-49",184221.843256062
"etort-17","etort-49",250543.929699321
"etort-31","etort-49",226181.506478353
"etort-36","etort-49",122100.592591167
"etort-37","etort-49",202572.76119285
"etort-38","etort-49",167027.298459493
"etort-46","etort-49",30837.7368964691
"etort-47","etort-49",32445.6702206856
"etort-48","etort-49",33732.1358898178
"etort-49","etort-49",0
"etort-15","etort-51",187052.737300219
"etort-17","etort-51",253348.806773694
"etort-31","etort-51",229046.200703298
"etort-36","etort-51",126509.383810262
"etort-37","etort-51",206966.717111291
"etort-38","etort-51",170498.945703287
"etort-46","etort-51",33502.5224718973
"etort-47","etort-51",34991.6288836441
"etort-48","etort-51",36475.9382327665
"etort-49","etort-51",4428.25810831161
"etort-51","etort-51",0
"etort-15","etort-53",20997.4739542941
"etort-17","etort-53",83386.8169900401
"etort-31","etort-53",60303.2654598382
"etort-36","etort-53",152464.8766848
"etort-37","etort-53",194858.545516027
"etort-38","etort-53",48164.9988951274
"etort-46","etort-53",137727.965252446
"etort-47","etort-53",136160.359837039
"etort-48","etort-53",134832.503896684
"etort-49","etort-53",168561.209202801
"etort-51","etort-53",171118.454176943
"etort-53","etort-53",0
"etort-15","etort-55",149325.276603069
"etort-17","etort-55",215621.8304902
"etort-31","etort-55",191321.679359904
"etort-36","etort-55",109477.30617109
"etort-37","etort-55",189095.775999037
"etort-38","etort-55",133834.189676377
"etort-46","etort-55",4225.37324192539
"etort-47","etort-55",2995.52571593854
"etort-48","etort-55",1418.59913490065
"etort-49","etort-55",35043.2936986917
"etort-51","etort-55",37727.8093348634
"etort-53","etort-55",133518.114091843
"etort-55","etort-55",0
"etort-15","etort-56 (sheared2)",148370.341611145
"etort-17","etort-56 (sheared2)",213334.979560281
"etort-31","etort-56 (sheared2)",188650.908373902
"etort-36","etort-56 (sheared2)",68279.0100867664
"etort-37","etort-56 (sheared2)",148674.733986897
"etort-38","etort-56 (sheared2)",122481.531367631
"etort-46","etort-56 (sheared2)",42917.3586473125
"etort-47","etort-56 (sheared2)",43738.2348706479
"etort-48","etort-56 (sheared2)",41641.8065071802
"etort-49","etort-56 (sheared2)",56408.9919350006
"etort-51","etort-56 (sheared2)",60802.9509697385
"etort-53","etort-56 (sheared2)",137304.560288241
"etort-55","etort-56 (sheared2)",42068.1462761106
"etort-56 (sheared2)","etort-56 (sheared2)",0
"etort-15","etort-58",117283.657804577
"etort-17","etort-58",109568.826114307
"etort-31","etort-58",104347.318199584
"etort-36","etort-58",164965.189849358
"etort-37","etort-58",141209.898931939
"etort-38","etort-58",100084.958611005
"etort-46","etort-58",229872.526041219
"etort-47","etort-58",229135.041197595
"etort-48","etort-58",226953.124068194
"etort-49","etort-58",256035.310098411
"etort-51","etort-58",260018.07366649
"etort-53","etort-58",136461.225678041
"etort-55","etort-58",226151.250019564
"etort-56 (sheared2)","etort-58",203420.407736216
"etort-58","etort-58",0
"etort-15","etort-59",85314.1295006221
"etort-17","etort-59",151413.091237018
"etort-31","etort-59",127330.460880597
"etort-36","etort-59",113798.839894401
"etort-37","etort-59",179809.580393338
"etort-38","etort-59",76892.1477519337
"etort-46","etort-59",68744.4076173832
"etort-47","etort-59",67185.8844932065
"etort-48","etort-59",65847.94983883
"etort-49","etort-59",99576.3579125625
"etort-51","etort-59",102162.149264486
"etort-53","etort-59",68984.9052360776
"etort-55","etort-59",64533.4268110922
"etort-56 (sheared2)","etort-59",74595.1831460121
"etort-58","etort-59",175906.985965283
"etort-59","etort-59",0
"etort-15","etort-62",57995.791184885
"etort-17","etort-62",124303.579179276
"etort-31","etort-62",99841.9645597604
"etort-36","etort-62",114237.425016308
"etort-37","etort-62",169445.498301308
"etort-38","etort-62",48433.3742322177
"etort-46","etort-62",95837.5477867466
"etort-47","etort-62",94440.6499948501
"etort-48","etort-62",92842.630225835
"etort-49","etort-62",126373.156170754
"etort-51","etort-62",129307.885327985
"etort-53","etort-62",44955.4142026714
"etort-55","etort-62",91619.5327395832
"etort-56 (sheared2)","etort-62",92350.5993532267
"etort-58","etort-62",148330.239945215
"etort-59","etort-62",29304.5278657479
"etort-62","etort-62",0
"etort-15","etort-78",115057.255810232
