"EM_Tort_ID","UTM_Zone","Easting","Northing","Berkeley.Sample.."
"etort-15","11N",723009,4037525,"HSEM005e"
"etort-17","11N",760118,4092654,"HSEM005g"
"etort-31","11N",743532,4074271,"HSEM006f"
"etort-36","11N",574087,3994334,"HSEM007a"
"etort-37","11N",536076,4065477,"HSEM007b"
"etort-38","11N",682489,4038675,"HSEM007c"
"etort-46","11N",642221,3906737,"HSEM008a"
"etort-47","11N",644021,3907352,"HSEM008b"
"etort-48","11N",643255,3909590,"HSEM008c"
"etort-49","11N",623128,3882479,"HSEM008d"
"etort-51","11N",624508,3878271,"HSEM008f"
"etort-53","11N",725522,4016673,"HSEM008h"
"etort-55","11N",644480,3910312,"HSEM008j"
"etort-56 (sheared2)","11N",612619,3937893,"HSEM009a"
"etort-58","11N",658980,4135978,"HSEM009c"
"etort-59","11N",683537,3961789,"HSEM009d"
"etort-62","11N",688708,3990639,"HSEM010a"
"etort-78","11N",607629,4043935,"HSEM002E"
"etort-79","11N",618986,3978647,"HSEM002F"
"etort-80","11N",609891,3986364,"HSEM003A"
"etort-81","11N",644952,3919121,"HSEM003B"
"etort-82","11N",646774,3917821,"HSEM002G"
"etort-83","11N",646700,3918477,"HSEM002H"
"etort-84","11N",647004,3915494,"HSEM002i"
"etort-85","11N",645039,3915768,"HSEM003C"
"etort-86","11N",683709,4092180,"HSEM003D"
"etort-87","11N",622516,3987196,"HSEM003E"
"etort-89","11N",647923,3917776,"HSEM003F"
"etort-90","11N",648920,3920769,"HSEM014e"
"etort-93","11N",592503,3981844,"HSEM003i"
"etort-94","11N",615610,3942092,"HSEM003J"
"etort-95","11N",647510,3978369,"HSEM012i"
"etort-112","11N",694264,3960428,"HSEM014h"
"etort-113","11N",673229,3955284,"HSEM014i"
"etort-130","NAD83--11N",639231,3934648,"HSEM011i"
"etort-131","NAD83--11N",643227,3943923,"HSEM011j"
"etort-132","NAD83--11N",636149,3936404,"HSEM012a"
"etort-133","NAD83--11N",642570,3933927,"HSEM012b"
"etort-134","NAD83--11N",638346,3932334,"HSEM012c"
"etort-135","NAD83--11N",640077,3930608,"HSEM012d"
"etort-136","NAD83--11N",640814,3936925,"HSEM012e"
"etort-137","NAD83--11N",641640,3930318,"HSEM012f"
"etort-138","NAD83--11N",634980,3936077,"HSEM012g"
"etort-139","NAD83--11N",637095,3940147,"HSEM012h"
"etort-140","NAD83--11N",640701,3935705,"HSEM015e"
"etort-141","NAD83--11N",634800,3939818,"HSEM015f"
"etort-142","NAD83--11N",638914,3938924,"HSEM015g"
"etort-143","NAD83--11N",636863,3930447,"HSEM015h"
"etort-144","NAD83--11N",640365,3929154,"HSEM015i"
"etort-145","NAD83--11N",636485,3933538,"HSEM015j"
"etort-146","NAD83--11N",634835,3937976,"HSEM016a"
"etort-147","NAD83--11N",642341,3941204,"HSEM016b"
"etort-148","NAD83--11N",658681,3929629,"HSEM016c"
"etort-149","NAD83--11N",653219,3933532,"HSEM016d"
"etort-150","NAD83--11N",637504,3938874,"HSEM016e"
"etort-151","NAD83--11N",656914,3927257,"HSEM016f"
"etort-152","NAD83--11N",653389,3931564,"HSEM016g"
"etort-153","NAD83--11N",651187,3932250,"HSEM016h"
"etort-154","NAD83--11N",654410,3930112,"HSEM016i"
"etort-155","NAD83--11N",651985,3933098,"HSEM016j"
"etort-156","NAD83--11N",656712,3930752,"HSEM017a"
"etort-157","NAD83--11N",640123,3939571,"HSEM017b"
"etort-158","NAD83--11N",636323,3938418,"HSEM017c"
"etort-159","NAD83--11N",643401,3928722,"HSEM017d"
"etort-161","NAD83--11N",644212,3926658,"HSEM017e"
"etort-162","NAD83--11N",641669,3927554,"HSEM017f"
"etort-163","NAD83--11N",639034,3937403,"HSEM017g"
"etort-164","NAD83--11N",638270,3936376,"HSEM017h"
"etort-166","WGS84--11N",640138,3938058,"HSEM017i"
"etort-167","WGS84--11N",642269,3938241,"HSEM017j"
"etort-168","WGS84--11N",639406,3940594,"HSEM018a"
"etort-169","WGS84--11N",641797,3942765,"HSEM018b"
"etort-170","WGS84--11N",653444,3944123,"HSEM018c"
"etort-172","WGS84--11N",653820,3940834,"HSEM018d"
"etort-173","WGS84--11N",653705,3943061,"HSEM018e"
"etort-174","WGS84--11N",651499,3944699,"HSEM018f"
"etort-175","WGS84--11N",650947,3944177,"HSEM018g"
"etort-176","WGS84--11N",650056,3944567,"HSEM018h"
"etort-177","WGS84--11N",649874,3942720,"HSEM018i"
"etort-178","WGS84--11N",649959,3943622,"HSEM018j"
"etort-179","WGS84--11N",650686,3941312,"HSEM019a"
"etort-180","WGS84--11N",649190,3945353,"HSEM019c"
"etort-181","WGS84--11N",649923,3946492,"HSEM019d"
"etort-182","WGS84--11N",648163,3941322,"HSEM019e"
"etort-183","WGS84--11N",648189,3940376,"HSEM019f"
"etort-184","WGS84--11N",649968,3941699,"HSEM019g"
"etort-185","WGS84--11N",649966,3940401,"HSEM019h"
"etort-186","WGS84--11N",651304,3948405,"HSEM019i"
"etort-187","WGS84--11N",652266,3940286,"HSEM019j"
"etort-188","11N",653817,3926775,"HSEM021A"
"etort-189","11N",653315,3926891,"HSEM021B"
"etort-190","11N",654042,3928428,"HSEM021C"
"etort-191","11N",656188,3928992,"HSEM021D"
"etort-192","11N",655031,3928613,"HSEM021E"
"etort-193","11N",655735,3928049,"HSEM021F"
"etort-194","11N",719066,4069616,"HSEM021G"
"etort-196","11N",586910,4028324,"HSEM021I"
"etort-197","11N",606647,3997601,"HSEM021J"
"etort-202","11N",686082,3983462,"HSEM022E"
"etort-203","11N",654929,3963527,"HSEM022F"
"etort-233","11N",662936,3963420,"HSEM025F"
"etort-234","11N",681729,3946968,"HSEM025G"
"etort-235","11N",680535,4020850,"HSEM025H"
"etort-236","11N",649418,4017215,"HSEM025I"
"etort-237","11N",682054,4053242,"HSEM025J"
"etort-238","11N",727055,4072148,"HSEM026A"
"etort-239","11N",692216,4105232,"HSEM026B"
"etort-240","11N",679713,4099531,"HSEM026C"
"etort-241","11N",685413,4081467,"HSEM026D"
"etort-242","11N",713665,4082852,"HSEM026E"
"etort-243","11N",748590,4098530,"HSEM026F"
"etort-250","11N",682062,3952901,"HSEM027B"
"etort-251","11N",654477,3984406,"HSEM027C"
"etort-252","11N",657689,3968268,"HSEM027D"
"etort-258","11N",684019,3957078,"HSEM027J"
"etort-266","11N",695742,3972621,"HSEM028H"
"etort-268","11N",677638,3950885,"HSEM028J"
"etort-269","11N",611035,3983346,"HSEM029A"
"etort-272","11N",678181,3958550,"HSEM029D"
"etort-282","11N",682036,4044895,"HSEM030D"
