"etort1","etort2","pi"
"etort-2","etort-2",0.102355
"etort-2","etort-3",0.171989
"etort-3","etort-3",0.110922
"etort-2","etort-4",0.173099
"etort-3","etort-4",0.170612
"etort-4","etort-4",0.10739
"etort-2","etort-5",0.176352
"etort-3","etort-5",0.175389
"etort-4","etort-5",0.176462
"etort-5","etort-5",0.11145
"etort-2","etort-6",0.181114
"etort-3","etort-6",0.17917
"etort-4","etort-6",0.181105
"etort-5","etort-6",0.175129
"etort-6","etort-6",0.111289
"etort-2","etort-9",0.176219
"etort-3","etort-9",0.176187
"etort-4","etort-9",0.176422
"etort-5","etort-9",0.17111
"etort-6","etort-9",0.173738
"etort-9","etort-9",0.108419
"etort-2","etort-10",0.174864
"etort-3","etort-10",0.172237
"etort-4","etort-10",0.173988
"etort-5","etort-10",0.175404
"etort-6","etort-10",0.180112
"etort-9","etort-10",0.176799
"etort-10","etort-10",0.107363
"etort-2","etort-11",0.176274
"etort-3","etort-11",0.173411
"etort-4","etort-11",0.175052
"etort-5","etort-11",0.175909
"etort-6","etort-11",0.180145
"etort-9","etort-11",0.175328
"etort-10","etort-11",0.164283
"etort-11","etort-11",0.108017
"etort-2","etort-13",0.171432
"etort-3","etort-13",0.17088
"etort-4","etort-13",0.170082
"etort-5","etort-13",0.176148
"etort-6","etort-13",0.180138
"etort-9","etort-13",0.175462
"etort-10","etort-13",0.173491
"etort-11","etort-13",0.174308
"etort-13","etort-13",0.108336
"etort-2","etort-14",0.172663
"etort-3","etort-14",0.174025
"etort-4","etort-14",0.173381
"etort-5","etort-14",0.178061
"etort-6","etort-14",0.182231
"etort-9","etort-14",0.17703
"etort-10","etort-14",0.176828
"etort-11","etort-14",0.177171
"etort-13","etort-14",0.171099
"etort-14","etort-14",0.110454
"etort-2","etort-16",0.175698
"etort-3","etort-16",0.173061
"etort-4","etort-16",0.175436
"etort-5","etort-16",0.174062
"etort-6","etort-16",0.176939
"etort-9","etort-16",0.174241
"etort-10","etort-16",0.173324
"etort-11","etort-16",0.174095
"etort-13","etort-16",0.174625
"etort-14","etort-16",0.178375
"etort-16","etort-16",0.113516
"etort-2","etort-18",0.172065
"etort-3","etort-18",0.170734
"etort-4","etort-18",0.172324
"etort-5","etort-18",0.173322
"etort-6","etort-18",0.179194
"etort-9","etort-18",0.174213
"etort-10","etort-18",0.166656
"etort-11","etort-18",0.167786
"etort-13","etort-18",0.172398
"etort-14","etort-18",0.174593
"etort-16","etort-18",0.172467
"etort-18","etort-18",0.106953
"etort-2","etort-19",0.171419
"etort-3","etort-19",0.1698
"etort-4","etort-19",0.16838
"etort-5","etort-19",0.175191
"etort-6","etort-19",0.179768
"etort-9","etort-19",0.174969
"etort-10","etort-19",0.173717
"etort-11","etort-19",0.173432
"etort-13","etort-19",0.167892
"etort-14","etort-19",0.172725
"etort-16","etort-19",0.174073
"etort-18","etort-19",0.171096
"etort-19","etort-19",0.110124
"etort-2","etort-20",0.171759
"etort-3","etort-20",0.170244
"etort-4","etort-20",0.168787
"etort-5","etort-20",0.175525
"etort-6","etort-20",0.181421
"etort-9","etort-20",0.177338
"etort-10","etort-20",0.173154
"etort-11","etort-20",0.174316
"etort-13","etort-20",0.168383
"etort-14","etort-20",0.17393
"etort-16","etort-20",0.174923
"etort-18","etort-20",0.171276
"etort-19","etort-20",0.167745
"etort-20","etort-20",0.108167
"etort-2","etort-21",0.17317
"etort-3","etort-21",0.171737
"etort-4","etort-21",0.173565
"etort-5","etort-21",0.174437
"etort-6","etort-21",0.178415
"etort-9","etort-21",0.175779
"etort-10","etort-21",0.159966
"etort-11","etort-21",0.161206
"etort-13","etort-21",0.172964
"etort-14","etort-21",0.175551
"etort-16","etort-21",0.172348
"etort-18","etort-21",0.164971
"etort-19","etort-21",0.171107
"etort-20","etort-21",0.172567
"etort-21","etort-21",0.104841
"etort-2","etort-22",0.174348
"etort-3","etort-22",0.171336
"etort-4","etort-22",0.172396
"etort-5","etort-22",0.174777
"etort-6","etort-22",0.17941
"etort-9","etort-22",0.175572
"etort-10","etort-22",0.161275
"etort-11","etort-22",0.163794
"etort-13","etort-22",0.173252
"etort-14","etort-22",0.176176
"etort-16","etort-22",0.17262
"etort-18","etort-22",0.166099
"etort-19","etort-22",0.172008
"etort-20","etort-22",0.172806
"etort-21","etort-22",0.160824
"etort-22","etort-22",0.105037
"etort-2","etort-23",0.17763
"etort-3","etort-23",0.175111
"etort-4","etort-23",0.176135
"etort-5","etort-23",0.176623
"etort-6","etort-23",0.17963
"etort-9","etort-23",0.176628
"etort-10","etort-23",0.167892
"etort-11","etort-23",0.166992
"etort-13","etort-23",0.175686
"etort-14","etort-23",0.178502
"etort-16","etort-23",0.175106
"etort-18","etort-23",0.170747
"etort-19","etort-23",0.174224
"etort-20","etort-23",0.175772
"etort-21","etort-23",0.166624
