"etort1","etort2","covariance"
"etort-2","etort-2",0.101226
"etort-2","etort-3",0.002316
"etort-3","etort-3",0.107515
"etort-2","etort-4",0.002514
"etort-3","etort-4",0.003089
"etort-4","etort-4",0.124087
"etort-2","etort-5",0.001535
"etort-3","etort-5",0.001679
"etort-4","etort-5",0.001806
"etort-5","etort-5",0.111591
"etort-2","etort-6",0.000915
"etort-3","etort-6",0.001437
"etort-4","etort-6",0.001339
"etort-5","etort-6",0.002483
"etort-6","etort-6",0.202511
"etort-2","etort-9",0.001349
"etort-3","etort-9",0.001332
"etort-4","etort-9",0.001634
"etort-5","etort-9",0.002045
"etort-6","etort-9",0.002603
"etort-9","etort-9",0.102435
"etort-2","etort-10",0.00159
"etort-3","etort-10",0.002065
"etort-4","etort-10",0.002142
"etort-5","etort-10",0.001415
"etort-6","etort-10",0.000736
"etort-9","etort-10",0.001038
"etort-10","etort-10",0.102839
"etort-2","etort-11",0.001471
"etort-3","etort-11",0.002023
"etort-4","etort-11",0.002122
"etort-5","etort-11",0.001438
"etort-6","etort-11",0.000678
"etort-9","etort-11",0.001337
"etort-10","etort-11",0.003395
"etort-11","etort-11",0.12111
"etort-2","etort-13",0.002199
"etort-3","etort-13",0.002343
"etort-4","etort-13",0.002977
"etort-5","etort-13",0.001419
"etort-6","etort-13",0.001019
"etort-9","etort-13",0.001359
"etort-10","etort-13",0.001732
"etort-11","etort-13",0.001708
"etort-13","etort-13",0.098985
"etort-2","etort-14",0.002611
"etort-3","etort-14",0.00247
"etort-4","etort-14",0.003021
"etort-5","etort-14",0.001554
"etort-6","etort-14",0.00099
"etort-9","etort-14",0.001531
"etort-10","etort-14",0.001621
"etort-11","etort-14",0.00169
"etort-13","etort-14",0.002739
"etort-14","etort-14",0.120224
"etort-2","etort-16",0.003092
"etort-3","etort-16",0.004157
"etort-4","etort-16",0.004143
"etort-5","etort-16",0.003606
"etort-6","etort-16",0.004751
"etort-9","etort-16",0.003088
"etort-10","etort-16",0.003482
"etort-11","etort-16",0.003595
"etort-13","etort-16",0.003223
"etort-14","etort-16",0.003035
"etort-16","etort-16",0.232283
"etort-2","etort-18",0.002203
"etort-3","etort-18",0.002535
"etort-4","etort-18",0.002704
"etort-5","etort-18",0.001951
"etort-6","etort-18",0.001108
"etort-9","etort-18",0.001559
"etort-10","etort-18",0.002918
"etort-11","etort-18",0.003107
"etort-13","etort-18",0.002057
"etort-14","etort-18",0.002205
"etort-16","etort-18",0.004317
"etort-18","etort-18",0.116759
"etort-2","etort-19",0.002559
"etort-3","etort-19",0.002962
"etort-4","etort-19",0.003805
"etort-5","etort-19",0.001845
"etort-6","etort-19",0.001388
"etort-9","etort-19",0.00168
"etort-10","etort-19",0.001934
"etort-11","etort-19",0.002167
"etort-13","etort-19",0.003009
"etort-14","etort-19",0.002908
"etort-16","etort-19",0.004103
"etort-18","etort-19",0.002646
"etort-19","etort-19",0.118627
"etort-2","etort-20",0.00268
"etort-3","etort-20",0.003096
"etort-4","etort-20",0.00393
"etort-5","etort-20",0.001937
"etort-6","etort-20",0.001047
"etort-9","etort-20",0.001375
"etort-10","etort-20",0.002194
"etort-11","etort-20",0.002191
"etort-13","etort-20",0.003153
"etort-14","etort-20",0.002862
"etort-16","etort-20",0.004239
"etort-18","etort-20",0.002819
"etort-19","etort-20",0.003889
"etort-20","etort-20",0.124828
"etort-2","etort-21",0.001842
"etort-3","etort-21",0.00223
"etort-4","etort-21",0.002297
"etort-5","etort-21",0.001585
"etort-6","etort-21",0.001105
"etort-9","etort-21",0.001181
"etort-10","etort-21",0.003917
"etort-11","etort-21",0.004262
"etort-13","etort-21",0.00186
"etort-14","etort-21",0.001901
"etort-16","etort-21",0.003906
"etort-18","etort-21",0.003412
"etort-19","etort-21",0.002411
"etort-20","etort-21",0.002405
"etort-21","etort-21",0.115099
"etort-2","etort-22",0.001512
"etort-3","etort-22",0.002043
"etort-4","etort-22",0.00223
"etort-5","etort-22",0.001378
"etort-6","etort-22",0.000746
"etort-9","etort-22",0.00108
"etort-10","etort-22",0.003275
"etort-11","etort-22",0.003245
"etort-13","etort-22",0.001698
"etort-14","etort-22",0.001615
"etort-16","etort-22",0.003317
"etort-18","etort-22",0.002849
"etort-19","etort-22",0.002056
"etort-20","etort-22",0.002069
"etort-21","etort-22",0.003642
"etort-22","etort-22",0.099255
"etort-2","etort-23",0.001216
"etort-3","etort-23",0.00178
"etort-4","etort-23",0.001944
"etort-5","etort-23",0.001308
"etort-6","etort-23",0.000845
"etort-9","etort-23",0.001059
