"etort1","etort2","distance"
"etort-2","etort-2",0
"etort-2","etort-3",72486.8463015104
"etort-3","etort-3",0
"etort-2","etort-4",95933.5448887162
"etort-3","etort-4",24045.4113623576
"etort-4","etort-4",0
"etort-2","etort-5",117521.94005851
"etort-3","etort-5",51262.3406234472
"etort-4","etort-5",41026.2218471732
"etort-5","etort-5",0
"etort-2","etort-6",222772.788214543
"etort-3","etort-6",153088.322311236
"etort-4","etort-6",133869.79109352
"etort-5","etort-6",105413.181167001
"etort-6","etort-6",0
"etort-2","etort-9",189570.542004906
"etort-3","etort-9",120436.850906753
"etort-4","etort-9",96636.3043900175
"etort-5","etort-9",103949.574112848
"etort-6","etort-9",101539.41207832
"etort-9","etort-9",0
"etort-2","etort-10",118661.051866897
"etort-3","etort-10",156081.600409
"etort-4","etort-10",176958.453640306
"etort-5","etort-10",169529.753863403
"etort-6","etort-10",259277.959579184
"etort-9","etort-10",270306.283727114
"etort-10","etort-10",0
"etort-2","etort-11",116528.056688826
"etort-3","etort-11",110954.708585913
"etort-4","etort-11",124442.64601906
"etort-5","etort-11",102683.367891938
"etort-6","etort-11",181033.137086468
"etort-9","etort-11",206623.739709221
"etort-10","etort-11",79886.5840491923
"etort-11","etort-11",0
"etort-2","etort-13",88468.8827582794
"etort-3","etort-13",50082.2213196572
"etort-4","etort-13",49514.7624295368
"etort-5","etort-13",90527.9970268284
"etort-6","etort-13",175790.729338556
"etort-9","etort-13",111249.79934969
"etort-10","etort-13",195783.059210416
"etort-11","etort-13",160031.565739068
"etort-13","etort-13",0
"etort-2","etort-14",83425.6009841655
"etort-3","etort-14",66471.1692126236
"etort-4","etort-14",71306.6751562499
"etort-5","etort-14",111889.928788936
"etort-6","etort-14",199341.880984191
"etort-9","etort-14",131606.569590282
"etort-10","etort-14",198105.203511287
"etort-11","etort-14",171501.089024644
"etort-13","etort-14",23552.1614808881
"etort-14","etort-14",0
"etort-2","etort-16",116269.44480774
"etort-3","etort-16",66014.1856227621
"etort-4","etort-16",66498.6242112901
"etort-5","etort-16",32506.5632598638
"etort-6","etort-16",117858.67452185
"etort-9","etort-16",135314.593896064
"etort-10","etort-16",144278.679774348
"etort-11","etort-16",72073.8437766322
"etort-13","etort-16",113482.951142327
"etort-14","etort-16",132183.332440641
"etort-16","etort-16",0
"etort-2","etort-18",101130.433149506
"etort-3","etort-18",109990.371253009
"etort-4","etort-18",127153.629694035
"etort-5","etort-18",112532.639521182
"etort-6","etort-18",199339.464864712
"etort-9","etort-18",215610.022832929
"etort-10","etort-18",59942.4578554672
"etort-11","etort-18",23480.0600715305
"etort-13","etort-18",156542.061166715
"etort-14","etort-18",165013.25673833
"etort-16","etort-18",85112.7984716109
"etort-18","etort-18",0
"etort-2","etort-19",98018.1374816936
"etort-3","etort-19",37718.3199885469
"etort-4","etort-19",25891.5472988232
"etort-5","etort-19",66070.5548552194
"etort-6","etort-19",149177.502533857
"etort-9","etort-19",92362.1119009005
"etort-10","etort-19",193245.873925106
