"EM_Tort_ID","UTM_Zone","Easting","Northing","Berkeley.Sample.."
"etort-2","11N",530701,3756507,"HSEM004b"
"etort-3","11N",596149,3787846,"HSEM004c"
"etort-4","11N",619807,3792360,"HSEM004d"
"etort-5","11N",619728,3833377,"HSEM004e"
"etort-6","11N",704768,3895990,"HSEM004f"
"etort-9","11N",716592,3795124,"HSEM004i"
"etort-10","11N",450144,3843725,"HSEM004j"
"etort-11","11N",524710,3872836,"HSEM005a"
"etort-13","11N",618210,3742882,"HSEM005c"
"etort-14","11N",606838,3722256,"HSEM005d"
"etort-16","11N",594399,3853818,"HSEM005f"
"etort-18","11N",509097,3855272,"HSEM005h"
"etort-19","11N",628184,3767862,"HSEM005i"
"etort-20","11N",617678,3767343,"HSEM005j"
"etort-21","11N",464934,3867688,"HSEM006a"
"etort-22","11N",469328,3851941,"HSEM006b"
"etort-23","11N",550336,3879282,"HSEM006c"
"etort-24","11N",514027,3901462,"HSEM006d"
"etort-25","11N",526407,3888627,"HSEM009g"
"etort-26","11N",729071,3783893,"HSEM009h"
"etort-27","11N",441380,3898411,"HSEM009i"
"etort-28","11N",434125,3912071,"HSEM009j"
"etort-33","11N",688419,3853375,"HSEM006h"
"etort-34","11N",718592,3809357,"HSEM006i"
"etort-39","11N",726167,3815082,"HSEM007d"
"etort-40","11N",709283,3833378,"HSEM007e"
"etort-41","11N",697804,3873631,"HSEM007f"
"etort-42","11N",697707,3890695,"HSEM007g"
"etort-43","11N",645726,3863590,"HSEM007h"
"etort-44","11N",646754,3865686,"HSEM007i"
"etort-45","11N",656011,3852580,"HSEM007j"
"etort-52","11N",642430,3863054,"HSEM008g"
"etort-54","11N",646120,3870350,"HSEM008i"
"etort-57","11N",636208,3719913,"HSEM009b"
"etort-60 (sheared2)","11N",517450,3822832,"HSEM009e"
"etort-61","11N",611327,3728268,"HSEM009f"
"etort-63","11N",622473,3772593,"HSEM010b"
"etort-64","11N",588588,3770619,"HSEM010c"
"etort-65","11N",616731,3745320,"HSEM010d"
"etort-66","11N",568549,3771433,"HSEM010e"
"etort-67","11N",576294,3765365,"HSEM010f"
"etort-68","11N",578233,3774595,"HSEM010g"
"etort-69","11N",549328,3841707,"HSEM010h"
"etort-70","11N",625219,3884376,"HSEM010i"
"etort-71","11N",635288,3726470,"HSEM002A"
"etort-72","12N",63774,3715220,"HSEM019b"
"etort-73","11N",633849,3774851,"HSEM002B"
"etort-74","11N",541538,3847186,"HSEM013e"
"etort-77","11N",618029,3840660,"HSEM002D"
"etort-96","11N",636594,3839173,"HSEM012j"
"etort-97","11N",718143,3822367,"HSEM013a"
"etort-98","11N",683224,3824298,"HSEM013b"
"etort-99","11N",697969,3840501,"HSEM013c"
"etort-100","11N",726013,3805326,"HSEM013d"
"etort-102","11N",689967,3814176,"HSEM013g"
"etort-103","11N",642883,3826902,"HSEM013h"
"etort-104","11N",686848,3835404,"HSEM013i"
"etort-105","11N",703279,3827727,"HSEM013j"
"etort-106","11N",683000,3692080,"HSEM014a"
"etort-107","11N",676245,3686628,"HSEM014b"
"etort-108","11N",700827,3678658,"HSEM014c"
"etort-109","11N",647486,3710466,"HSEM014d"
