EM_Tort_ID,UTM_Zone,Easting,Northing,Berkeley Sample #
etort-1,11N,518875,4087237,HSEM004a
etort-2,11N,530701,3756507,HSEM004b
etort-3,11N,596149,3787846,HSEM004c
etort-4,11N,619807,3792360,HSEM004d
etort-5,11N,619728,3833377,HSEM004e
etort-6,11N,704768,3895990,HSEM004f
etort-7,11N,705240,3921782,HSEM004g
etort-8,11N,677570,3921360,HSEM004h
etort-9,11N,716592,3795124,HSEM004i
etort-10,11N,450144,3843725,HSEM004j
etort-11,11N,524710,3872836,HSEM005a
etort-12,11N,612665,3932570,HSEM005b
etort-13,11N,618210,3742882,HSEM005c
etort-14,11N,606838,3722256,HSEM005d
etort-15,11N,723009,4037525,HSEM005e
etort-16,11N,594399,3853818,HSEM005f
etort-17,11N,760118,4092654,HSEM005g
etort-18,11N,509097,3855272,HSEM005h
etort-19,11N,628184,3767862,HSEM005i
etort-20,11N,617678,3767343,HSEM005j
etort-21,11N,464934,3867688,HSEM006a
etort-22,11N,469328,3851941,HSEM006b
etort-23,11N,550336,3879282,HSEM006c
etort-24,11N,514027,3901462,HSEM006d
etort-25,11N,526407,3888627,HSEM009g
etort-26,11N,729071,3783893,HSEM009h
etort-27,11N,441380,3898411,HSEM009i
etort-28,11N,434125,3912071,HSEM009j
etort-30,11N,693502,3935288,HSEM006e
etort-31,11N,743532,4074271,HSEM006f
etort-32,11N,694164,3917463,HSEM006g
etort-33,11N,688419,3853375,HSEM006h
etort-34,11N,718592,3809357,HSEM006i
etort-35,11N,680350,3933892,HSEM006j
etort-36,11N,574087,3994334,HSEM007a
etort-37,11N,536076,4065477,HSEM007b
etort-38,11N,682489,4038675,HSEM007c
etort-39,11N,726167,3815082,HSEM007d
etort-40,11N,709283,3833378,HSEM007e
etort-41,11N,697804,3873631,HSEM007f
etort-42,11N,697707,3890695,HSEM007g
etort-43,11N,645726,3863590,HSEM007h
etort-44,11N,646754,3865686,HSEM007i
etort-45,11N,656011,3852580,HSEM007j
etort-46,11N,642221,3906737,HSEM008a
etort-47,11N,644021,3907352,HSEM008b
etort-48,11N,643255,3909590,HSEM008c
etort-49,11N,623128,3882479,HSEM008d
etort-50,11N,625344,3880818,HSEM008e
etort-51,11N,624508,3878271,HSEM008f
etort-52,11N,642430,3863054,HSEM008g
etort-53,11N,725522,4016673,HSEM008h
etort-54,11N,646120,3870350,HSEM008i
etort-55,11N,644480,3910312,HSEM008j
etort-56 (sheared2),11N,612619,3937893,HSEM009a
etort-57,11N,636208,3719913,HSEM009b
etort-58,11N,658980,4135978,HSEM009c
etort-59,11N,683537,3961789,HSEM009d
etort-60 (sheared2),11N,517450,3822832,HSEM009e
etort-61,11N,611327,3728268,HSEM009f
etort-62,11N,688708,3990639,HSEM010a
etort-63,11N,622473,3772593,HSEM010b
etort-64,11N,588588,3770619,HSEM010c
etort-65,11N,616731,3745320,HSEM010d
etort-66,11N,568549,3771433,HSEM010e
etort-67,11N,576294,3765365,HSEM010f
etort-68,11N,578233,3774595,HSEM010g
etort-69,11N,549328,3841707,HSEM010h
etort-70,11N,625219,3884376,HSEM010i
etort-71,11N,635288,3726470,HSEM002A
etort-72,12N,63774,3715220,HSEM019b
etort-73,11N,633849,3774851,HSEM002B
etort-74,11N,541538,3847186,HSEM013e
etort-75,11N,619079,3883796,HSEM013f
etort-76,11N,620668,3883110,HSEM002C
etort-77,11N,618029,3840660,HSEM002D
etort-78,11N,607629,4043935,HSEM002E
etort-79,11N,618986,3978647,HSEM002F
etort-80,11N,609891,3986364,HSEM003A
etort-81,11N,644952,3919121,HSEM003B
etort-82,11N,646774,3917821,HSEM002G
etort-83,11N,646700,3918477,HSEM002H
etort-84,11N,647004,3915494,HSEM002i
etort-85,11N,645039,3915768,HSEM003C
etort-86,11N,683709,4092180,HSEM003D
etort-87,11N,622516,3987196,HSEM003E
etort-88,11N,632168,3888950,HSEM002J
